 	non	aveva	cosa	a	fare	</S>
e	0.136863795	0.13708153	0.162815445	0.26748503	0.145552515	0.150201645
n	0.135899691667	0.13612943	0.162684631667	0.27074229	0.144941811667	0.149602095
ì	0.154561823889	0.15468083	0.164988213889	0.206155443333	0.158245830556	0.161367848333
c	0.14168791263	0.14200733	0.158008627963	0.225537897778	0.151928143519	0.180830116111
h	0.137892838877	0.138256903333	0.155596859321	0.230462205926	0.150265591173	0.187525628704
e	0.126524302959	0.126826721111	0.140922891774	0.171430506975	0.156032743724	0.278262839568
t	0.0799653789863	0.081276441037	0.113404989258	0.184765333992	0.159558637908	0.381029213189
i	0.0438885639954	0.0457145415123	0.0939601297527	0.212948704664	0.147391132636	0.456096914396
k	0.0213207298318	0.0228457024708	0.0707971052509	0.162894696221	0.229458350879	0.492683421465
à	0.0093572665106	0.0117822559569	0.0438684020836	0.106943883407	0.27154943696	0.556498773822
m	0.00349509338687	0.0059223215523	0.0199180902612	0.0618739061357	0.439760678987	0.469029904607
i	0.00120659846796	0.00267621731743	0.0078382333204	0.0255268885452	0.689267959662	0.273484098202
</S>	0.00061084001748	0.00193824000872	0.0041819946602	0.0159802315226	0.712615729831	0.264672974101
