 	allora	questo	anno	che	viene	vengo	nuovamente	qui	e	mangio	molti	pasticciotti	</S>
a	0.076065197	0.076037318	0.0760361405	0.076053263	0.0760896205	0.076501252	0.076515682	0.0760779905	0.076400967	0.078450887	0.0764670575	0.07651441	0.0827902725
l	0.0753888923333	0.0753543326667	0.0753550218333	0.0753936143333	0.0754728518333	0.076349704	0.076360109	0.0754153318333	0.075840499	0.082598879	0.0764443691667	0.07611859	0.0839078375
l	0.0757228774444	0.0757045775556	0.0757066939444	0.0757412214444	0.0758108672778	0.0765726946667	0.0765723346667	0.0757457839444	0.075992965	0.0829936063333	0.0767359480556	0.07625238	0.0804480425
ò	0.0757111258148	0.0757039825185	0.0757108493148	0.0757750188148	0.0758978457593	0.0772147715556	0.0771907265556	0.0757763779815	0.075849217	0.0782108037778	0.0761047226852	0.0761725866667	0.0846819275
r	0.0737088806049	0.0737048808395	0.0737197127716	0.0738473332716	0.0741238852531	0.0766957525185	0.0766286071852	0.0739776243272	0.0738653023333	0.0753138945926	0.0740265175617	0.0805250702222	0.0998624991667
a	0.0736297788683	0.0736227656132	0.0736339372572	0.0737331297572	0.073967351751	0.0759646328395	0.0759114257284	0.0739145764424	0.0738284841111	0.0750691498642	0.0739950391872	0.0823869147407	0.100342819722
f	0.0749459496228	0.0749294792044	0.0749388370857	0.0750327365857	0.075231043917	0.0771609909465	0.0771195585761	0.0750663621475	0.075147908037	0.0786327549547	0.0756057730624	0.0784976882469	0.087690926574
è	0.0717463332076	0.0717305800681	0.0718181123619	0.0725609988619	0.0739368979723	0.0857945636488	0.0857024928587	0.0721298673825	0.073036492679	0.0768778033182	0.0729797910208	0.0740875694156	0.0975984855247
t	0.0607041610692	0.060697442356	0.0609258797873	0.062807783954	0.0665242573241	0.0915599078829	0.0912180489529	0.0629580574608	0.0630484085597	0.0678193377727	0.0628260156736	0.0941791298052	0.154731548508
i	0.0583964703564	0.058377371452	0.0585766439291	0.0602204789847	0.0635930604414	0.0838749092943	0.0836359443176	0.0611766724869	0.0616386438532	0.0670906125909	0.0609631572245	0.102702731268	0.179753296169
p	0.0655639701188	0.0655168591507	0.0656575363097	0.0668637829949	0.0692081734805	0.0865726317648	0.0864464981059	0.066870915829	0.0685622626177	0.0739573008636	0.0678037310748	0.0817245200893	0.135251838723
ò	0.0639980880396	0.0639545517169	0.0642559674366	0.0667650743316	0.0712516658268	0.102164002588	0.102187278035	0.0653493686097	0.0679076488726	0.0730016902879	0.0668502776916	0.0711847963631	0.121129616241
r	0.0535276006799	0.0535099779056	0.0547274971455	0.0630014964439	0.0733562132756	0.109079885863	0.109228031345	0.0575355595366	0.0583480082909	0.0621204654293	0.0580601712305	0.078222040121	0.16928306208
k	0.0562141602266	0.0562086933019	0.0575553870485	0.0663214904813	0.0761803444252	0.0992260569543	0.0991394657817	0.0603619998455	0.0586371714303	0.0622193521431	0.0598599237435	0.085302786707	0.16277318536
e	0.0679858567422	0.0679585877673	0.0684193056828	0.0714630168271	0.0749799281417	0.0851256856514	0.0850588552606	0.0694677866152	0.0691414304768	0.0712330090477	0.0696217612478	0.078560933569	0.120983839787
t	0.0631050909141	0.0630673159224	0.0633322565609	0.0652849269424	0.0683290383806	0.0839017018838	0.0836400864202	0.0648125122051	0.0643282491589	0.0705959630159	0.0651096450826	0.0925832591897	0.151909926596
e	0.0579608903047	0.0578666286408	0.0580591388536	0.0596354853141	0.0625038701269	0.0798804606279	0.0798182654734	0.0600240954017	0.0620354853863	0.0706211010053	0.0628836843609	0.0956877813966	0.193023108865
è	0.0524283661016	0.0522422118803	0.0538816462845	0.0628315967714	0.0700686050423	0.085582166876	0.0870258901578	0.0573853031339	0.0624429474621	0.0841037390018	0.064814781787	0.0724862854655	0.194706462955
r	0.0427810443672	0.0426411929601	0.0459578554282	0.0643036312571	0.0791709683474	0.101191075625	0.102851025053	0.0513826767113	0.0525845588207	0.0786363283339	0.056946738929	0.0700603164885	0.211492550985
k	0.0516091004557	0.0515603309867	0.0538810751427	0.0671751327524	0.0787648061158	0.0981350265417	0.098571228351	0.0575735162371	0.0558907436069	0.0665651461113	0.0588952089763	0.0767854701628	0.184593183662
o	0.0625597591519	0.0624741259956	0.0632905463809	0.0681413002508	0.0727930053719	0.0871530368472	0.087225846117	0.0648558687457	0.065264997869	0.0716106387038	0.0662595096588	0.0734646733876	0.154906694554
m	0.061732942384	0.0614957829985	0.061799780127	0.0638832127503	0.0663625384573	0.0801894422824	0.0801528553723	0.0627452912486	0.0643262892897	0.109096672901	0.0698328582196	0.0715639611292	0.146818386851
e	0.0574919947947	0.0570662513328	0.0571768233757	0.0582755042501	0.0599262468191	0.0730009724275	0.0734830984574	0.0585602937495	0.0651634030966	0.126731697634	0.0706620627399	0.0713454370431	0.17111623095
m	0.0519088172649	0.0514753754443	0.0515438611252	0.0524260834167	0.053974215273	0.0681725411425	0.0690538594858	0.0533597912498	0.0634392176989	0.146210685878	0.0714315339133	0.0728508123477	0.194153216983
a	0.047682161755	0.0471475851481	0.0471972213751	0.0480514364722	0.049661594091	0.0656746940475	0.0674783731619	0.0501212870833	0.065783879233	0.165387888626	0.0728209993044	0.0766529674492	0.196339912328
p	0.0435719099183	0.0428950350494	0.0439318514584	0.0509097708241	0.0581106513637	0.0787995413492	0.0813240077206	0.0482844790278	0.0641775640777	0.144921812875	0.0679226764348	0.0699732158164	0.205177464109
à	0.0376889033061	0.0372304010165	0.0410549971528	0.0587090222747	0.0714332004546	0.0986995421164	0.105987443907	0.0515265530093	0.0631984556926	0.122382384292	0.0691995401449	0.0624028236055	0.18048672137
l	0.0308593947687	0.0305850283388	0.0355081263843	0.0562525807582	0.0687899534849	0.0929896640388	0.101725322636	0.0484243730031	0.0577624458975	0.110998868097	0.0655779753816	0.0652146162018	0.235311647123
e	0.0306206319229	0.0300636547796	0.0330143394614	0.0471757025861	0.057647160495	0.0837775880129	0.0900492108787	0.042068913001	0.0563182259658	0.116238361366	0.0583555634605	0.0733233087339	0.281347349041
e	0.028742578641	0.0272480555932	0.0287904914871	0.0378135665287	0.0461303614983	0.073849587671	0.0811740996262	0.036840226667	0.0598925186553	0.183751539122	0.0676555154868	0.0814629862446	0.24664849968
t	0.0231134062137	0.0208930491977	0.022567713829	0.0325134031762	0.0409157491661	0.0660157042237	0.0757692078754	0.0328844355557	0.0529148095518	0.267535523041	0.0892433318289	0.0830577887482	0.192575879893
t	0.0239363364046	0.0223530150659	0.023728076943	0.0317763770587	0.0392363313887	0.0791628880746	0.0942574846251	0.0422296378519	0.0625036765173	0.216143851014	0.0922394292763	0.0946733912494	0.177759479964
ù	0.0222221991349	0.0210684936886	0.024527972981	0.0320859073529	0.0385369801296	0.0903378846915	0.105286128208	0.056871524284	0.0761266255058	0.137407797005	0.0825780084254	0.106413107416	0.206537373321
c	0.0189850537116	0.0179155898962	0.0231154036603	0.0348794307843	0.0425474713765	0.0803623935638	0.0888972480693	0.0526019337613	0.0629574441686	0.104115509002	0.0666102728085	0.0991353058053	0.30787695444
e	0.0193914082372	0.0174713672987	0.0204761072201	0.0315240189281	0.0395620137922	0.0653609095213	0.0728857380231	0.0375513409204	0.0592072537229	0.111924326334	0.0521308776028	0.123917219935	0.348597398147
t	0.0161392507457	0.0139840760996	0.0165424914067	0.025514535976	0.0319191579307	0.0543346161738	0.063586119341	0.0335852309735	0.0597366739076	0.139983008778	0.0544910142009	0.159640703312	0.330543086049
r	0.0242907672486	0.0234896036999	0.0260363048022	0.0344981596587	0.0415289593102	0.0684369133913	0.0749747331137	0.0390782443245	0.0519081106359	0.115519376259	0.0555538747336	0.129822361104	0.314862568683
