 	non	mangiare	la	sera	</S>
m	0.18624985	0.196235515	0.19479335	0.192974245	0.22974705
i	0.159038263333	0.175233595	0.17294059	0.183636351667	0.309151203333
f	0.147651101111	0.174143971667	0.182601856667	0.181806067222	0.313797021111
a	0.115305496037	0.144040712889	0.157670793222	0.160418002407	0.422565007037
i	0.058457387679	0.12128941663	0.159526568741	0.198784254136	0.461942379012
o	0.033744109893	0.129030055543	0.19893173958	0.243503531379	0.394790569671
v	0.0298938022977	0.105270925181	0.181138736527	0.347039323793	0.336657214557
r	0.0347082817659	0.0914511450603	0.164396165509	0.363503131264	0.345941282852
à	0.023158527542	0.0563678693868	0.102009188836	0.201492743755	0.616971680951
i	0.00813350530067	0.0208702199623	0.0480859749453	0.198599251252	0.72431107365
</S>	0.00424784540034	0.0123768736811	0.0411608899727	0.251397415626	0.690817006825
