 	entrò	da	qui	</S>
m	0.22359898	0.23623863	0.266688235	0.27347413
b	0.20716718	0.219355786667	0.228882095	0.344594946667
ì	0.190612236667	0.196095028889	0.203782655	0.409510102222
k	0.147526054556	0.15630847963	0.211002791667	0.485162677407
e	0.0973126105187	0.107072994543	0.273105373889	0.522508992469
a	0.0656998251729	0.0759639828477	0.51104092463	0.347295220823
p	0.031037206391	0.0462326586159	0.703664874877	0.219065220274
ò	0.015148459697	0.0252583839386	0.785265701626	0.174327414758
t	0.00629065026567	0.0214122680462	0.772562777209	0.199734262919
t	0.00903629922189	0.139817016015	0.530512765736	0.320633884306
u	0.0142347494073	0.206831968672	0.445243295245	0.333689968102
</S>	0.0145747392036	0.162986449336	0.515294097623	0.307144709051
