 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.142738315	0.14273162	0.142731015	0.14275317	0.143309875	0.14284422	0.1428918
ì	0.142757591667	0.14266398	0.142650828333	0.142805746667	0.143272141667	0.14277795	0.14307178
s	0.141225557222	0.14110782	0.141096682778	0.141807038889	0.142658387222	0.143468773333	0.148635726667
i	0.140619049074	0.140014923333	0.139933620926	0.141555382963	0.142298585741	0.143242244444	0.152336178889
f	0.140307429691	0.139524224444	0.139415173642	0.141061184321	0.14761798858	0.142260028148	0.14981396963
a	0.137240536564	0.136005651481	0.135905564547	0.13820385144	0.149576259527	0.140318042716	0.162750106543
m	0.118182280855	0.116516823827	0.116416568182	0.121479953813	0.230215946509	0.141446240905	0.155742216848
ì	0.110109455618	0.107224027942	0.107156634727	0.115917524604	0.252080755503	0.138537563635	0.168974056949
g	0.120201571873	0.117042165981	0.116986030242	0.124767578201	0.179474488501	0.132637234545	0.208890928983
l	0.127295620624	0.126051695327	0.126030783414	0.1293752894	0.161666776167	0.135595821515	0.193983992994
i	0.124613046875	0.109029735109	0.106325947805	0.1575779698	0.136813295389	0.122933240505	0.242706727665
a	0.084240387625	0.0612274000363	0.057349838935	0.1343558126	0.133694388463	0.180129286835	0.349002859222
e	0.0377890615417	0.0257847691454	0.0241629971117	0.0707024742	0.115490641488	0.296495595612	0.429574446407
n	0.0175082600472	0.0113113531818	0.0109142199372	0.0434979534	0.0807655958293	0.388111345204	0.447891268802
è	0.0109468418824	0.0109502350606	0.0079129982124	0.0482081038	0.184299671943	0.378855911735	0.358826249601
c	0.00655801754747	0.00915822760353	0.0051091973608	0.0440337435	0.201689722981	0.408003060578	0.325448026534
h	0.00319998743582	0.00367824228451	0.0024000677436	0.0259185087333	0.0867209966603	0.398421166859	0.479660992178
i	0.00197988578694	0.00176177112417	0.0013650171312	0.0176187469211	0.0412061152868	0.45353963562	0.482528760726
n	0.000825133200647	0.000645192030723	0.0005253723604	0.0082398404837	0.0234460011623	0.656492645207	0.309825806909
a	0.000438624393882	0.000268946002908	0.000225989755467	0.0052078612279	0.0169263370874	0.726130095069	0.25080219897
f	0.000197838601627	9.88540103027e-05	8.8205362489e-05	0.00314048524263	0.0148544677291	0.624637178356	0.356983006323
à	0.000122677712542	5.59357621009e-05	5.43282768297e-05	0.00291118044754	0.0255302919097	0.560023326119	0.411302275441
i	4.92047838473e-05	3.48942319336e-05	4.27784792766e-05	0.00178892294918	0.0238773559699	0.62829104204	0.34591580848
</S>	2.64071034237e-05	1.89786598168e-05	3.35796491383e-05	0.00113005952459	0.017027244485	0.64190277102	0.33986096924
