 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.14252662	0.142530145	0.142823755	0.1426956	0.14386568	0.142565645	0.142992535
p	0.142253763333	0.142243348333	0.142520348333	0.142424813333	0.14519649	0.142292128333	0.143069055
e	0.140829434444	0.140816659444	0.141113562778	0.141279761111	0.152501983333	0.141216809444	0.142241748333
r	0.130310048148	0.130318369815	0.133026240926	0.161232187037	0.158523624444	0.134380953148	0.152208572778
i	0.126058406049	0.126107106605	0.129809776975	0.167194922346	0.156927271481	0.132747071049	0.161155454259
k	0.130225652016	0.130290045535	0.132407395658	0.148296934115	0.168554123827	0.137260557016	0.152965288086
o	0.127606044005	0.127716435178	0.130059731886	0.138948518038	0.185607517942	0.136941825672	0.153119912695
l	0.115613328002	0.115791411726	0.119537823962	0.127194282679	0.231053062647	0.143617188557	0.147192888898
ò	0.103357762667	0.103584133909	0.116586907987	0.116228500893	0.231569914216	0.134471449519	0.194201330966
s	0.083572156889	0.083815891303	0.118372685996	0.147984036964	0.190513311405	0.120772886506	0.254969043655
o	0.0627465236297	0.0634198684343	0.119676165332	0.166003335655	0.220701323802	0.108017272169	0.259435514552
n	0.0717999898766	0.0688308241448	0.102501728444	0.119794435218	0.235595364601	0.0923723540563	0.309105288184
a	0.0607941212922	0.0563684173816	0.0806571328147	0.080976176406	0.2810556782	0.0801336086854	0.360014869395
n	0.0447075467641	0.0430326397939	0.0658140142716	0.0664095541353	0.297942666067	0.0893301368951	0.392763459798
a	0.0351435453547	0.0343322719313	0.0403934030905	0.0569243343784	0.204349935356	0.101532288965	0.527324233266
r	0.0133973831516	0.0134211865771	0.0265981513635	0.0456955094595	0.144436580119	0.088510539655	0.667940644422
è	0.0057914659172	0.0066797156257	0.0185488857878	0.0330586484865	0.0955872327063	0.104212459885	0.736121581474
t	0.00344941113907	0.00541317737523	0.0197195839293	0.0244087471622	0.0994674452354	0.123077313295	0.724464327158
s	0.00277111064636	0.00437677585841	0.0213211463098	0.0258078477207	0.100790251745	0.124143987765	0.720788875719
i	0.00129960944545	0.00208819199614	0.0122695006033	0.0192412267502	0.0406988515817	0.207603885922	0.716798758573
à	0.000507781178483	0.00110507545538	0.00447959913443	0.0074490700934	0.0151947647606	0.442460341974	0.528803422858
t	0.00107745602616	0.00165558646513	0.0113313178115	0.0253418310311	0.0889444481535	0.470265903991	0.401383484286
s	0.00124326003639	0.00183433915504	0.0138184681705	0.031214890477	0.117412922385	0.357080477997	0.477395668095
e	0.000444480242463	0.00129804125168	0.00504392155683	0.011203004149	0.044589535795	0.472325885999	0.465095172698
n	0.000165191808154	0.000971281953893	0.00171618077094	0.00390890660633	0.0157571224317	0.563806215333	0.413675120899
ì	8.51269073847e-05	0.000687904521298	0.000672297665647	0.00186747750211	0.0062064332439	0.649332985111	0.3411477503
t	0.000785074282462	0.00213411487377	0.00452075964522	0.00507823976737	0.0364772766813	0.64243804837	0.308566453433
t	0.00100187198915	0.00251792956792	0.00581439457174	0.00593663707246	0.0482357373604	0.467527576123	0.468965837811
a	0.000347166425717	0.00122911489931	0.00204068284591	0.00235482274082	0.0198631693535	0.408522778708	0.56564225927
</S>	0.000183922614358	0.000912607099655	0.00103710937095	0.00140840622041	0.0120363448267	0.420530289354	0.563891329635
