 	il	morto	si	piange	</S>
o	0.19162479	0.19303541	0.192344725	0.193023155	0.229971905
a	0.180928573333	0.180206283333	0.185053195	0.205093885	0.248718071667
p	0.182143827778	0.179641121111	0.187303795	0.214714748333	0.236196507222
e	0.187631152593	0.18654958037	0.191468661667	0.201848602778	0.232501992407
t	0.180078160864	0.178594713457	0.187967297222	0.212702500926	0.240657327469
a	0.161733070288	0.169908047819	0.176404772407	0.205163626975	0.286790515823
m	0.148129290096	0.15204689594	0.199492974136	0.230326202325	0.270004665274
m	0.135558103365	0.132436353647	0.194126802712	0.234111600775	0.303767131758
è	0.0973908497883	0.109802236216	0.122239402237	0.142747179258	0.527820327253
n	0.0911723885961	0.106709482072	0.103376187412	0.110347405419	0.588394542418
o	0.0897522938654	0.114506250691	0.103979199137	0.11521901314	0.576543247473
i	0.0771926602885	0.113656736897	0.102167333046	0.124452465713	0.582530802491
k	0.0882489294295	0.101852165632	0.124441501015	0.222393105238	0.463064287497
l	0.0687219744765	0.068679767544	0.108571107005	0.255147848413	0.498879295832
è	0.0329946032588	0.0391004651813	0.056631510335	0.144443785138	0.726829631944
e	0.0157698441863	0.0209542673938	0.0232199671117	0.113684224046	0.826371677315
t	0.0094651294621	0.0162582694646	0.0154424850372	0.165343658015	0.793490459105
e	0.0048681439207	0.0102550825215	0.0105251526457	0.221639452672	0.752712186368
</S>	0.00325509301035	0.00549544281075	0.00626581727285	0.257701961336	0.727281693184
