 	possono	essere	ancora	svegli	</S>
i	0.194884525	0.195075475	0.21161227	0.196330805	0.20209692
s	0.185421938333	0.185719601667	0.207051676667	0.207987298333	0.213819496667
ò	0.166803619444	0.167022587222	0.182700302222	0.195819492778	0.287653998889
z	0.166995169815	0.167224152407	0.180366874074	0.180082467593	0.305331332963
o	0.173072409938	0.173373314136	0.196730928025	0.180943329198	0.275880020988
n	0.163894946646	0.164375348045	0.192152716008	0.189472033066	0.290104956996
e	0.149012245549	0.149804202682	0.201239912003	0.181645951022	0.318297685665
ì	0.11117413785	0.113638994227	0.218324854001	0.170501920341	0.386360091888
n	0.0891424286167	0.0922479647423	0.182572934667	0.167041720114	0.468994943963
e	0.0850804715389	0.0865795649141	0.214697394889	0.127996348038	0.485646221321
a	0.0586124058463	0.0622134449714	0.369293138296	0.146574764013	0.363306257107
n	0.0391191532821	0.0455947226571	0.436712512765	0.214707448004	0.263866169036
k	0.0556494204274	0.0603037305524	0.357056997588	0.235935529335	0.291054323012
ò	0.0564300094758	0.0681635521841	0.250013805863	0.264183076445	0.361209557671
r	0.0389018411586	0.054217172728	0.150445141954	0.228627758815	0.52780807589
a	0.0276818968862	0.036249725576	0.0742468339847	0.117140606272	0.744680925297
a	0.0125084859954	0.018986329192	0.0970045346616	0.266789342091	0.604711301766
t	0.0094498265318	0.0190117667307	0.274373191554	0.42560786403	0.271557345922
s	0.0147824451773	0.0223474189102	0.363589790518	0.38969678801	0.209583567307
ù	0.0139931573924	0.0174274093034	0.217847554839	0.45405113267	0.296680772436
n	0.00629348699747	0.0119949218678	0.123599319613	0.586784084223	0.271328224145
n	0.00254100390916	0.0121135817226	0.093998056871	0.605472234741	0.285875131382
i	0.00119996906639	0.0130557972409	0.0367597319903	0.658151674914	0.290832817127
t	0.000532652775463	0.0231983254136	0.0148554725634	0.652569148305	0.308844392376
i	0.000318918015154	0.0265245614712	0.00947033705447	0.633924262768	0.329761930792
</S>	0.000302096092577	0.0182098542356	0.00904211902724	0.718820531384	0.253625435396
