 	voleva	un	bar	con	un	forno	che	fa	buoni	rustici	</S>
ì	0.090188348	0.090192075	0.0901944225	0.09020374	0.090206745	0.090437835	0.0918808975	0.090800795	0.09030913	0.09061646	0.09496958
t	0.0898791546667	0.0898835183333	0.0898866708333	0.089897112	0.0899006916667	0.0901544416667	0.0916862511667	0.0923753183333	0.0901117813333	0.0903924616667	0.0958326066667
e	0.0900715882222	0.0900742794444	0.0900756952778	0.0900800893333	0.0900841338889	0.0902421438889	0.0911729657222	0.0931065994444	0.0903763784444	0.0904678455556	0.0942482822222
l	0.0901742977407	0.0901816598148	0.0901795167593	0.0901776797778	0.0901818312963	0.0902995212963	0.0910192952407	0.0927111964815	0.0912198361481	0.0905402218519	0.0933149740741
a	0.0899526009136	0.0899619052716	0.0899584422531	0.0899542585926	0.0899588570988	0.0900759617654	0.0908095217469	0.0924301671605	0.0914887920494	0.091081665284	0.0943278446914
è	0.0875679219712	0.0876272284239	0.0876406940844	0.0877104831975	0.0877108990329	0.0882159552551	0.0919549339156	0.0908927240535	0.0939238873498	0.0904696297613	0.106285624897
n	0.0865267703237	0.0866250954746	0.0866516496948	0.0867797280658	0.086772733011	0.0874060284184	0.0924303179719	0.0903582713512	0.0948672257833	0.0895607899204	0.112021378299
a	0.0860239881079	0.0860872831582	0.0860992382316	0.0861716146886	0.0861883156703	0.0873034594728	0.094605419324	0.0916332371171	0.0925174652611	0.0896909266401	0.113679039433
b	0.0829220847026	0.0832182643861	0.0830961560772	0.0829722848962	0.0830033298901	0.0843026198243	0.0927426797747	0.0984449203724	0.106764971754	0.08777733888	0.114755316478
a	0.0785497869009	0.0789336831287	0.0787647420257	0.0785671782987	0.07861306163	0.0812001082748	0.0954120565916	0.101039269457	0.116885257251	0.08722697296	0.124807855493
r	0.0693525356336	0.0695452427096	0.0695160313419	0.0694994834329	0.0695653645433	0.0733648427583	0.0930800655305	0.130188807819	0.112475309084	0.0827011356533	0.160711165164
m	0.0720796838779	0.0721912042365	0.072214666114	0.072270341811	0.0723109738478	0.0744537525861	0.0857338618435	0.13845165594	0.105277068028	0.0823467765511	0.152669995055
è	0.0702964512926	0.0703644080788	0.0703904137047	0.070492662937	0.0705724999493	0.0733206755287	0.0879679939478	0.108973905313	0.085073726676	0.089224975517	0.203322285018
n	0.0675815250975	0.0676777393596	0.0677109745682	0.0678741833123	0.0679607553164	0.0708494265096	0.0867407579826	0.0985944964377	0.0766150912253	0.0893189471723	0.239076115006
a	0.0696324360325	0.0697336251199	0.0697280341894	0.0698346534374	0.0700479474388	0.0719192195032	0.0869957059942	0.104730100146	0.0755037570751	0.0882693310574	0.223605191669
f	0.0608481430108	0.0616452277066	0.0612706787298	0.0608871318125	0.0611618848129	0.0636272671677	0.0843439733314	0.129318936715	0.102056599025	0.0827629370191	0.232077240556
ù	0.0499523656703	0.0511990942355	0.0509699652433	0.0512020836042	0.0514741976043	0.0651102370559	0.0879728824438	0.130115127572	0.105405209008	0.0891250523397	0.267473813519
r	0.0338486908901	0.0347882897452	0.0354018594144	0.0368785125347	0.0374589552014	0.0614965260186	0.0953244308146	0.112773569524	0.0797958936693	0.10610455078	0.366128734506
n	0.0353629912967	0.0360134549151	0.0367217724715	0.0380186681782	0.0385359700671	0.0560964443395	0.0932896902715	0.0944371031747	0.0745392325564	0.0983768135933	0.398607838169
o	0.0381610444322	0.0385271586384	0.0387533198238	0.0394202217261	0.0402184110224	0.0507452547798	0.102327336757	0.123957182725	0.0640684808521	0.0994740178644	0.364347552723
n	0.0323582654774	0.0370128155461	0.0351929396079	0.0328995005754	0.0337221886741	0.0396873389266	0.0917551055857	0.132718364242	0.0763977669507	0.0951336442881	0.393122097574
a	0.0239680436258	0.030128441082	0.0276196038693	0.0242503270918	0.0246932566914	0.0294815914755	0.0627435105286	0.119338814747	0.0879866056502	0.133704743096	0.436085109191
k	0.0114838105086	0.014348122394	0.0132165414898	0.0116352155973	0.0120642780305	0.0182986483252	0.0518370035095	0.182935401582	0.0808123518834	0.179752401032	0.42361626973
à	0.0067681658362	0.0103666922647	0.00985371802993	0.0103522221991	0.0150914676768	0.0186100174417	0.0456568571698	0.186075577194	0.0915568406278	0.168124073677	0.43754437991
n	0.00444956357873	0.0100111754216	0.00968288834331	0.0104033374997	0.0166286332256	0.0189168484806	0.0326904153899	0.124272925731	0.0938236252093	0.131635454559	0.547485133303
i	0.00245727993358	0.00668845461887	0.0063311481361	0.00569586631157	0.00801033974187	0.0100863360469	0.0155842389633	0.0704032136437	0.0672769740698	0.286274434853	0.521191731101
k	0.00106691376519	0.00274511241796	0.00261948446703	0.00229366361552	0.00324295591396	0.00438278606897	0.0091847188211	0.0598320529479	0.0495112243566	0.376551258284	0.488569830367
a	0.00058482003773	0.00140236615132	0.00135721821668	0.00112779951851	0.00150812759799	0.00229669618966	0.00669313163703	0.054388118216	0.0403765657855	0.450290886095	0.439974223456
l	0.00022907377191	0.000558506849107	0.000542560073227	0.000450939682837	0.00066525174933	0.00095021052322	0.00405949044234	0.035917929972	0.0363720872618	0.485671248698	0.434582667819
ò	0.00014081079397	0.000343506069702	0.000311114284409	0.000316793114279	0.000711635939777	0.000819379534407	0.00371655261411	0.0329415566573	0.0430467204206	0.478237949566	0.439413969273
r	9.251774399e-05	0.000232804766567	0.000229584938136	0.000242834240093	0.000762081459926	0.000979613578136	0.0026092502047	0.0235668705524	0.0508613948069	0.660225016522	0.260198039758
ù	5.348151833e-05	0.000155342342189	0.000182205586045	0.000155829712031	0.000506508299975	0.000828117319379	0.0018054148349	0.0174311241841	0.0520023016023	0.678253272174	0.248626419919
s	0.000136255110443	0.00039230959073	0.000522539278682	0.000337182810677	0.000772836133325	0.00206818039979	0.00420458331163	0.0273593543947	0.0682111538674	0.601865024058	0.294130563306
t	0.000156414526281	0.00044207998891	0.000615506074227	0.000369425412892	0.000808252954442	0.00243690003993	0.00502073558721	0.0314949469982	0.107201011289	0.554670891353	0.296783811102
i	5.54630439937e-05	0.00015898193097	0.000215704000076	0.000136478593631	0.000321528077147	0.00092482811131	0.0018811703324	0.0124461833994	0.100193613763	0.565561660451	0.318104360367
k	2.17963500979e-05	6.559986099e-05	8.45525773587e-05	5.44486272103e-05	0.000131838100049	0.000367888265103	0.0009234707308	0.00607520043313	0.0641153045877	0.66303502015	0.265124861789
u	1.1440500366e-05	3.079399633e-05	3.82604147862e-05	2.22604535034e-05	6.1542684683e-05	0.000170915842034	0.000618551210267	0.00397322907771	0.0510710631959	0.744196173383	0.19980574893
</S>	9.908541183e-06	1.9857750165e-05	2.51272658931e-05	1.32887994017e-05	3.97333813415e-05	9.7860496517e-05	0.000390850105134	0.00255992828886	0.0454088990979	0.742988406692	0.208446104465
