 	vuole	pianto	</S>
i	0.26409335	0.256872015	0.47903463
t	0.225302953333	0.225767485	0.548929543333
è	0.265887047778	0.213274671667	0.520838261111
l	0.236993895926	0.191495163889	0.57151092037
i	0.153509615309	0.15021857463	0.696271773457
k	0.150617888436	0.186401044877	0.662981024486
l	0.175402579479	0.232956718292	0.591640674829
a	0.142593744493	0.268384116097	0.589022114943
m	0.062294302831	0.474492838699	0.463212838314
m	0.0326151387437	0.510114906233	0.457269969438
è	0.0128280808979	0.316932868744	0.670239069813
n	0.0147328911493	0.398860796248	0.586406309938
o	0.0283849250498	0.645712955416	0.325902106646
</S>	0.0339227435249	0.733934662708	0.232142578323
