 	il	ladro	è	entrato	da	qui	</S>
o	0.54563171	0.399774198	0.0085432454	0.0092577939	0.0113984763	0.00583046	0.019564152215
l	0.2328467752	0.720540979333	0.00610434913333	0.0047530639	0.0108088504567	0.00532448316667	0.0196214883517
à	0.0841286746	0.885452093111	0.00478680491111	0.00742354713333	0.00583874584223	0.00319521262222	0.0091748670639
d	0.0385026768667	0.92829066437	0.00536316963704	0.0101475253778	0.00547833141408	0.00470580660741	0.00751178448797
r	0.0234714459556	0.640692037457	0.00908878341235	0.105712598126	0.094079448938	0.0449211902025	0.0820344869627
o	0.0263238179852	0.240745836486	0.0401294954708	0.219759082709	0.258772836313	0.0969677400675	0.117301178988
i	0.0255633129951	0.160686186829	0.163726446824	0.24493871757	0.248296415438	0.0882832366892	0.0685056913293
m	0.0126975324984	0.155958012276	0.353595072275	0.219495152523	0.121428393813	0.0968546922297	0.0399711781098
b	0.00547383139947	0.105846320092	0.369124670758	0.280614307508	0.0849840299377	0.136561594077	0.0173952573699
ì	0.00348097819982	0.057297914364	0.299018453586	0.283072099169	0.228687906646	0.118657611359	0.00978503518997
k	0.00190022792827	0.025331299788	0.258706607862	0.357669663056	0.260177547882	0.0916261071197	0.00458854256332
e	0.00938495083776	0.0130032792627	0.157709133954	0.378664174352	0.240038898294	0.180790725707	0.0204088149544
a	0.0130241951459	0.0319057924209	0.128612595985	0.172914636451	0.225748580765	0.390032628569	0.0377615809848
p	0.00557492423197	0.0368686604736	0.106267324162	0.079728412817	0.0912022345883	0.654527309523	0.0258311779166
ò	0.00200974342066	0.0147362686579	0.0435550188873	0.032207404939	0.0469520335294	0.851504569841	0.00903497516053
t	0.000749253357887	0.00635140415263	0.0178882278224	0.0125714656663	0.0254373815098	0.932760156614	0.00424210668684
t	0.000336531476962	0.00246342383421	0.0081974218008	0.0104766309088	0.0153493515033	0.782356195538	0.180820420262
u	0.00254991632565	0.00789952929474	0.0444937602669	0.0353266103029	0.0744199068344	0.584104475179	0.251205771421
</S>	0.00480991016283	0.0141438966474	0.0817467551335	0.0564331001515	0.133656443417	0.565048737589	0.14416113271
