 	ha	pensato	che	il	ladro	è	entrato	dalla	finestra	</S>
e	0.94887033	0.0201261011	0.00075508265	0.000150970955	0.01045789785	0.00142406495	0.0022992756	0.00483780185	0.006235408965	0.0048430606
p	0.830901743333	0.0632998270333	0.00183939211667	0.000196671221667	0.0666090492833	0.00402350058333	0.00534378226667	0.00889347661667	0.010522269655	0.00837024486667
è	0.685040847778	0.177807279011	0.00621844250556	0.000436183420556	0.0938185854278	0.00475128709444	0.00815528475556	0.00812539757222	0.00835836215167	0.00728830142222
n	0.431462163259	0.49481583967	0.00951159616852	0.000502705173519	0.0452851961426	0.00248720719815	0.00500950989852	0.00418261229074	0.00344650973389	0.00329669905741
s	0.149262818153	0.800381046557	0.0171535563895	0.00543552552451	0.0158169787242	0.00158908939938	0.00245425114617	0.00269545346358	0.00350186609463	0.0017094736358
e	0.056818861451	0.633559958852	0.230645650797	0.0206858370082	0.0112894142514	0.0128889870331	0.0120092522487	0.0167487681212	0.00398854019821	0.00136477712193
t	0.0263839960837	0.423592022951	0.406732090266	0.0263126420027	0.0228357647505	0.0232527096777	0.0182608080829	0.0268355143737	0.0243417551327	0.00145272545064
s	0.00991190836123	0.472025134317	0.387483580089	0.0261065563342	0.0224489082502	0.0162599588926	0.0114961486943	0.0167343114579	0.0354546247109	0.00207890761688
e	0.00658550652041	0.345624853439	0.520189836696	0.0568484431114	0.0153242777501	0.0127271886309	0.0122717582314	0.011523652486	0.017213447637	0.00169106106563
k	0.0053930531068	0.143388311146	0.557502005565	0.10439690437	0.0510928309167	0.037553152877	0.0229797830771	0.0169729474953	0.0586546989457	0.00206630861521
a	0.00606990796893	0.068703650382	0.481724075188	0.154060601457	0.0944710369722	0.059752398959	0.0313267036924	0.0217448728318	0.0728235483152	0.00932320607174
o	0.00895660165631	0.0500647454607	0.345175471729	0.146708310486	0.261593708991	0.063024532653	0.0581196045641	0.0213745936106	0.0314255947717	0.0135568543572
l	0.0061714612021	0.0404762974869	0.142957598243	0.0963700268287	0.405303802997	0.141372362551	0.111793551521	0.0186877585369	0.0285248539239	0.00834229021907
à	0.0044004205507	0.0268345214956	0.0778446794143	0.0708465996096	0.436211434332	0.19546136085	0.146761730507	0.014664561179	0.0221199045413	0.00485477617302
d	0.00386177745023	0.0180028926652	0.0619079754714	0.0638833338699	0.523830211444	0.168760163617	0.132438243502	0.012335375393	0.0114727634138	0.00350725229101
r	0.00196330655008	0.0132283077217	0.0612382151571	0.186803234623	0.394544058815	0.154246367872	0.0984846445007	0.013007060131	0.0402724588046	0.036212338997
o	0.00246174681669	0.0245509632406	0.0517046703857	0.242500204874	0.171169347938	0.247534955957	0.118908364834	0.0376217297103	0.0544026696015	0.0491453526657
m	0.00254340905223	0.0278540564135	0.0276480187952	0.143789758291	0.163759495979	0.323059575319	0.164338048278	0.0695020379034	0.0578557412005	0.0196498464886
b	0.00226887229741	0.0318641331378	0.0176428949317	0.0829642527637	0.204372525326	0.30434769844	0.184936809426	0.0805535459678	0.0767288717335	0.0143203664295
ì	0.0020748257658	0.0273986005459	0.0113191627106	0.0451920542546	0.194184815109	0.33606883948	0.167155639809	0.133466911989	0.0710238239112	0.0121153140098
k	0.00103309422193	0.00979965278197	0.00610371450353	0.0330816040849	0.233912601703	0.324657579827	0.161332326603	0.146589970663	0.0746735913037	0.0088158465366
e	0.00495754620731	0.00626448002732	0.0148588467012	0.0617435240283	0.194291663234	0.242817716609	0.144942578868	0.185997243554	0.101983640435	0.0421427355122
à	0.00767674193577	0.00679666734244	0.0185096967337	0.0602742280561	0.078191720078	0.201579292203	0.0875057676227	0.349094571185	0.139248616812	0.0511226903041
t	0.00424150939526	0.00506900911415	0.00844229614457	0.0204274302987	0.0467276746927	0.154543257401	0.0536993158742	0.469615283728	0.217371108937	0.0198630780014
t	0.00197543344842	0.00476699850472	0.00554220154819	0.0110736396662	0.0433644512309	0.140203319134	0.0547950172914	0.355710179576	0.296787599646	0.0857811221005
i	0.00176609541614	0.00578217330157	0.00680910051606	0.0117165245554	0.0300133984103	0.131850033045	0.0496385757638	0.253944998192	0.390713919882	0.1177651697
f	0.00132376098538	0.0122874907672	0.00488230084535	0.0077982076218	0.0131757377701	0.058268359815	0.0210576363879	0.269870412731	0.558520439961	0.0528156225667
i	0.00373582500846	0.0205225655891	0.00942642505512	0.0127336303106	0.00827625989003	0.0351893937383	0.0213044919293	0.278004984244	0.57759971332	0.0332066678556
n	0.00453632624282	0.0276144861964	0.0109689466284	0.0143928578035	0.00605535250668	0.0266330159594	0.0206970299098	0.229096859415	0.631633957773	0.0283711519519
è	0.00194575932094	0.0228436069321	0.0042112684528	0.00499950268117	0.00301267624556	0.0126959703665	0.0090699220366	0.136245687805	0.790266022591	0.0147096055173
s	0.00107283760031	0.00847424778403	0.0018224251896	0.00182574644372	0.00205641389852	0.00801575839883	0.0050712236622	0.100218847935	0.864718490864	0.00672404587243
t	0.000561269393437	0.00338203523468	0.00106267390187	0.000898509637907	0.00121198056617	0.00476062094294	0.0029893179374	0.0589870213117	0.793343283621	0.132803310457
r	0.000399405887812	0.00179169919823	0.00086611746729	0.000637730375969	0.00084010524539	0.00379427420431	0.00226190141247	0.0343850041039	0.64685211454	0.308171673486
a	0.00228962268594	0.00160386875274	0.00308779722243	0.00631549396866	0.00289842068846	0.0253246634248	0.00778979303749	0.042976608368	0.65986973818	0.247844015495
</S>	0.00433125684297	0.00206811477637	0.00560482011121	0.0122124299843	0.00519197014423	0.0482665067124	0.0142431000187	0.065389554184	0.70302076909	0.139671479248
