 	e	che	cucino	</S>
c	0.98214515	0.0086492375	0.005114253	0.00409137285
e	0.963048496667	0.0266288155	0.008220243	0.00210244516
p	0.726217252222	0.144983539833	0.120716537	0.00808266549667
u	0.452207440741	0.354627459944	0.166265526333	0.0268995301656
m	0.267955175247	0.467631073315	0.200590089444	0.0638236157219
a	0.110428222082	0.398981174438	0.291679689815	0.198910911907
r	0.054950110694	0.266086751479	0.472586279938	0.206376864402
è	0.022681812898	0.21688634716	0.680448743313	0.0799830695673
o	0.080668558966	0.271095079053	0.605307074438	0.0429292465224
</S>	0.146007674483	0.314706064527	0.509712727219	0.0295734867612
