 	il	ladro	poteva	entrare	da	qui	</S>
o	0.530212847	0.44730673	0.00492382385	0.0036235276	0.00310760145	0.00470583315	0.0061196717
l	0.213915293667	0.767305306667	0.00370442435	0.00175799021333	0.00282368391667	0.00449467978333	0.0059986668
à	0.0768781205557	0.912967778889	0.00262583318333	0.000865962597777	0.00148130300556	0.00227324396111	0.00290777366667
d	0.0344974431852	0.952267582963	0.00474696139444	0.000953286745926	0.00138408613519	0.00295311942037	0.00319747492222
r	0.0265620740617	0.674408874321	0.0172519157981	0.0101004410486	0.128820096578	0.0447348136068	0.0981217531741
o	0.0384467996872	0.295821634774	0.128611991266	0.0471186383495	0.267412835526	0.0811252365356	0.141462864391
ì	0.0347465462291	0.163817554925	0.367692057089	0.11477864945	0.197471462842	0.0588582931785	0.0626354424637
s	0.0156161264764	0.137671341642	0.494300695696	0.166717719817	0.103002548614	0.0547278833928	0.0279637051546
o	0.0086373735588	0.0997728186807	0.479003085232	0.218788956606	0.113704832871	0.0628792087976	0.0172137757182
z	0.00550576097293	0.0375574893602	0.463822648411	0.305050335535	0.104417160957	0.0744586105992	0.00918807377273
e	0.00331287144431	0.0178113499867	0.376297906137	0.413764355178	0.0986456436523	0.0813892561997	0.00877869745758
è	0.00282197981477	0.00845756619557	0.243163515379	0.555694785059	0.110167811217	0.0684325213999	0.0112618388192
m	0.00132852561259	0.00394484231852	0.15516590346	0.614644611686	0.119660713739	0.0971003838	0.0081550326064
b	0.000518179721863	0.00153116162617	0.0996940321533	0.558850920562	0.195662857913	0.124504815933	0.0192380775355
i	0.00125487341729	0.00105091480872	0.0628135850511	0.403115683521	0.335299072638	0.172380646644	0.0240852541785
a	0.00664962147243	0.00431379293624	0.0539340206837	0.234446284507	0.355644984213	0.308274062215	0.0367372447262
p	0.00749333375748	0.00525043954541	0.0389875539946	0.127361849169	0.213920278071	0.568241787405	0.0387447682087
ò	0.00257887249916	0.0025854172818	0.0150795722315	0.0485765330563	0.102445262024	0.815136762468	0.0135976099596
t	0.000882656710387	0.00145235465393	0.00675844444383	0.0197254203521	0.052587055008	0.912788820823	0.00580528467653
t	0.000337965287462	0.000679665254643	0.00336997494794	0.0100506371174	0.055284213336	0.861164483608	0.0691130823255
u	0.000802588082487	0.00240192666155	0.0438608458826	0.0513130857058	0.0840155364453	0.717648117869	0.0999578984418
</S>	0.00137676179124	0.00423097218078	0.0844623329413	0.0928959078529	0.0988177562226	0.652172578934	0.0660436807209
