 	non	aveva	da	stare	</S>
e	0.45789093	0.0447417415	0.00354104095	0.0161252265	0.4777010622
n	0.156447713467	0.3378367615	0.00535710785	0.0207147551667	0.479643678733
ì	0.055264734289	0.734713707167	0.00792821895	0.0200548870556	0.182038484244
c	0.022736662563	0.816288535722	0.0143723503167	0.0380383180185	0.108564148081
h	0.0138728946543	0.722130945241	0.0552108691056	0.0892022093395	0.11958308936
e	0.0122513982181	0.45761750508	0.274250353035	0.153153696447	0.10272706212
n	0.012290404406	0.207562571693	0.421292264345	0.245326482149	0.113528259707
a	0.0229352764687	0.137756073898	0.330113054782	0.364671090716	0.144524479902
s	0.0229541459896	0.0983592302993	0.240460441594	0.546196186905	0.0920299989673
t	0.0115579466299	0.0369958273331	0.153405965531	0.691699695635	0.106340581989
a	0.02736715901	0.0280577686777	0.0978591368437	0.735140351878	0.111575581996
s	0.03365548167	0.0310051682259	0.0767735439479	0.811196503959	0.0473693126653
ì	0.01880740689	0.0356046034086	0.0643269896493	0.851236967986	0.0300240615551
</S>	0.015411527445	0.0450411717043	0.0688393748246	0.837181733993	0.0335262057775
