 	è	che	sono	usciti	</S>
è	0.838054375	0.0573298698	0.00209549125	0.099612381	0.00290784055
n	0.685506388333	0.181870353267	0.01227902185	0.10553373	0.01481045515
a	0.415960189444	0.243434567756	0.0575314412833	0.264166299667	0.01890748965
g	0.153386948481	0.197604742585	0.302683517094	0.321856406556	0.02446836715
u	0.065422965827	0.158155487528	0.474202152365	0.261647882185	0.0405714933833
ì	0.040317768609	0.0918006035093	0.328491517455	0.496901820728	0.0424882897944
k	0.0201960639363	0.0411636711698	0.449114825818	0.443984651576	0.0455408062648
a	0.0247226927121	0.0435497693899	0.498527808606	0.372672031859	0.0605277257549
n	0.0279942985707	0.0442669794633	0.304559636202	0.538926467286	0.0842526269183
e	0.0397159765236	0.0516622261544	0.271689458734	0.519486632429	0.117445722306
</S>	0.0612998012618	0.0750256480772	0.254164099367	0.471688181214	0.137822286153
