 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a	0.95324385	0.0317900295	0.0013295185	0.0011464561	0.00033840597	0.0011130323935	0.0006516449	0.0061619127	0.0042251517
k	0.664822126667	0.303855287833	0.00560900073333	0.002536393	0.00118212497667	0.00117469967783	0.0011206831	0.008064416	0.0116352321
à	0.286757482222	0.654002652611	0.0101289032444	0.0031384406	0.00157914249222	0.0210317099393	0.00135725966667	0.00675144443333	0.0152529258667
j	0.138805969074	0.71092474087	0.0907190967481	0.003909436	0.00309177439741	0.0290944685131	0.00175394908889	0.0107454521444	0.0109550781889
o	0.0635208946913	0.50247106029	0.354419628916	0.016807013	0.00867896679914	0.020759577371	0.00326482222963	0.0119547067148	0.0181233207963
t	0.0346097668971	0.233005878763	0.652797732972	0.022066807	0.00874874646638	0.0165446490737	0.00327382204321	0.0104068239049	0.0185457800321
r	0.0161580349657	0.120402342588	0.785695524324	0.0207550773333	0.00502588502213	0.0171817603079	0.00346518888107	0.0241623693016	0.0071538612107
a	0.0112474816552	0.058615621696	0.840884654775	0.0347443167778	0.00396322434071	0.0191709350026	0.00333052579369	0.0247082824339	0.00333503337023
ù	0.00943633375173	0.027327379732	0.788255004925	0.0706339109259	0.0513962684469	0.0146392175675	0.00889025076456	0.0166927588113	0.0127289276567
d	0.00636728348391	0.0143397794107	0.636526921642	0.176085790309	0.104545024149	0.0118622688558	0.0118501061882	0.0224504702704	0.0159723832856
i	0.00374894462797	0.00738527717023	0.418526287214	0.36530501677	0.152416179383	0.00774898028527	0.0127451373294	0.0220609960901	0.0100631894952
a	0.00687481697599	0.0152063862567	0.187201627071	0.40122979559	0.227726746461	0.0528824200951	0.0212163964431	0.0290989893634	0.0585628014984
a	0.008510357992	0.0199185497522	0.0768266296903	0.23925527853	0.330935105487	0.097919053365	0.030765168481	0.0407228964545	0.155146933833
s	0.0326489479973	0.0385493809174	0.0403466305634	0.181083176177	0.329094998496	0.122602777788	0.0351148101603	0.0706659621515	0.149893306611
ò	0.0404267254658	0.0436806664058	0.0368859561878	0.157856875392	0.383687656165	0.114986512596	0.0590043307201	0.0885364673838	0.0749347782037
z	0.0148117189953	0.0168428945519	0.0240006975626	0.0818550051307	0.518498785388	0.0821530208653	0.109570858573	0.113047322461	0.0392196545012
i	0.00531170207177	0.00633069750063	0.0141725363542	0.0630113817102	0.441503388463	0.0558476335218	0.209600172858	0.179148584154	0.0250738919337
g	0.00357535339059	0.00382524896688	0.0107794687847	0.0535307002367	0.319840912821	0.0283169400739	0.300915070953	0.259949398051	0.0192669001112
r	0.0029558925302	0.00279523775563	0.00554606046157	0.0282321534122	0.223700829274	0.0444743870246	0.340979003651	0.33785870935	0.0134577201704
à	0.00131004418673	0.00142142468854	0.00301398480719	0.0119792913374	0.116545375425	0.0451962196749	0.47685390455	0.332638213117	0.0110415442568
t	0.00045489896991	0.00051924471018	0.0013737935824	0.00453375917913	0.0487606738083	0.066496579225	0.525507868183	0.345730371039	0.00662279575227
s	0.000161933146637	0.000201291894727	0.0006369313308	0.00197798742638	0.0232705382694	0.0928456697417	0.487262586061	0.313399427013	0.0802436187174
i	0.000281788441212	0.000451410612242	0.00412198172027	0.0102384663088	0.0418137784231	0.0572746632472	0.471120628687	0.306182319004	0.108514973239
i	0.00433039901374	0.00664750353741	0.0320525195734	0.0253233514363	0.127508609474	0.0331389627491	0.374818972896	0.327343369668	0.0688363147463
n	0.00558253946125	0.00840522735247	0.0376253014978	0.0211614582554	0.126085414971	0.0215765202497	0.240940282299	0.486225646556	0.0523976019154
ì	0.00208103201042	0.00308688603749	0.0129409322059	0.00846233819513	0.045058794137	0.00778513636323	0.127926193766	0.772181632185	0.0204770374385
t	0.000792212290807	0.0012630674335	0.00467701526197	0.00415559048171	0.0178465236123	0.00292625076774	0.0712432095887	0.889272660728	0.00782349684617
t	0.000295489930936	0.0004981190255	0.00179761130399	0.0021143353439	0.00934708277077	0.00971265328925	0.0839190598629	0.879804570243	0.0125111408487
a	0.000447631456979	0.000717961981833	0.004711076858	0.015951582548	0.0529966742569	0.0542656607631	0.156321379954	0.673127596748	0.0414604709496
</S>	0.00070467602849	0.00108589464092	0.008197960429	0.029797588274	0.0963937471285	0.0909472303815	0.193425224977	0.516939583374	0.0625081154748
