 	hai	già	mangiato	</S>
ì	0.994740965	0.0021581466	0.0015160798	0.00158481345
s	0.977636418333	0.009516291	0.0108548854667	0.00199236065
e	0.764702149444	0.167598610333	0.0653257891556	0.00237339475
g	0.386699983481	0.448433386778	0.159865483052	0.00500112461667
i	0.168340834827	0.617913685593	0.201148651017	0.0125968348722
à	0.0945404862757	0.655435371864	0.233078900339	0.0169452739574
f	0.0376281777252	0.595979277288	0.345162350113	0.0212302299858
a	0.0307315342084	0.396177767096	0.542597350038	0.0304933683286
m	0.0285989669028	0.175309963699	0.758597633346	0.0374934527762
è	0.0124699509343	0.0683102898997	0.889789844449	0.0294299359254
n	0.00663641443477	0.0283813315332	0.928010611483	0.0369716256418
a	0.0894216418016	0.0613739900777	0.807558617161	0.0416457088806
</S>	0.175190795901	0.106288515039	0.689877208581	0.0286434399403
