 	il	muro	vuole	uno	specchio	</S>
o	0.79596077	0.068746416	0.0797361035	0.00534785333	0.02680511	0.0234037656
t	0.487095010767	0.355403327333	0.0951884621667	0.00533208168333	0.0262933146667	0.0306878012
ì	0.175774439022	0.630846509111	0.0729704883889	0.0726298634678	0.0204419962222	0.0273366817333
c	0.087753968674	0.682467493037	0.0889568761296	0.0956178324226	0.0193727667407	0.0258310152444
h	0.050063795558	0.552557981012	0.0743786653765	0.289246998741	0.0139476042469	0.0198048940815
o	0.033050310186	0.350465193671	0.100506121792	0.452605066247	0.049946399749	0.0134268806938
t	0.0241480997053	0.226641315224	0.399406540597	0.251643469416	0.0887329332497	0.0094276005646
è	0.0108400782118	0.0933055380747	0.675151613532	0.133986240472	0.0800860210832	0.00663044242153
l	0.0065104794706	0.0446234553582	0.758038357844	0.106835956824	0.0772534636944	0.00673827820718
i	0.0115126212235	0.0471096587861	0.572775297281	0.077761795608	0.261301544565	0.0295390719024
è	0.0131786842912	0.047961183262	0.356820790427	0.055178111136	0.487126714855	0.0397344909675
n	0.00491960304707	0.0226370643207	0.380362483476	0.0462658876453	0.501518738285	0.0442962139892
a	0.00491212141569	0.0294659636736	0.289764734492	0.0479150022151	0.541608166095	0.0863340146631
n	0.0048068994919	0.0303352141579	0.139259763164	0.0238335980717	0.721814258698	0.0799502945544
j	0.0036114386173	0.0119239856526	0.0638557877213	0.137667321691	0.606808659566	0.176132811185
a	0.0105752443058	0.0257521192175	0.0469205009071	0.203145120564	0.495977343189	0.217629643728
l	0.0110178456306	0.0287485091435	0.036800161649	0.0980840016047	0.737803914396	0.087545550776
ì	0.00376006686553	0.0109968054522	0.0161767758963	0.0497613186182	0.878453521465	0.0408515364587
</S>	0.00200861312276	0.0076002822261	0.0136857339481	0.0503000043091	0.889703285733	0.0367021332294
