 	sono	vestita	</S>
ì	0.99096797	0.00615296935	0.00287911055
m	0.918753156667	0.07473673735	0.00651011421667
e	0.763556152222	0.226753389117	0.00969043673889
n	0.457660293407	0.535149949706	0.00718975581296
d	0.161087749469	0.732233689902	0.106678559171
i	0.171352572156	0.672683249967	0.15596415039
m	0.170566371719	0.742772849989	0.0866607574633
è	0.0805586649063	0.842755839996	0.0766854824878
n	0.0512028898021	0.739938103332	0.208858980829
i	0.141352844767	0.632526767777	0.22612034061
</S>	0.252112352383	0.628492983889	0.119394590805
