 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
o	0.64233342	0.192965311	0.035112478	0.0059094407	0.0119807614	0.000906380815	0.1013731595	0.009419067385
m	0.332716648667	0.447276827	0.0644498453333	0.00530254276667	0.0118660369667	0.00119831143833	0.103885316167	0.0333044911283
a	0.127125356889	0.503026982333	0.0741656691111	0.00578019198889	0.0221929258222	0.0416620111128	0.042290267389	0.183756607043
r	0.0539663336097	0.539219980778	0.091470389037	0.00600985706296	0.0251261020741	0.0547698297776	0.0191227103963	0.210314823848
ì	0.0190691081832	0.785550873593	0.086817862679	0.00303473838765	0.0092557837247	0.0184581056192	0.00714147023877	0.0706720897993
o	0.00807446212773	0.882873391198	0.0673125722263	0.00237242519588	0.00479674654157	0.0072326412264	0.00292767281959	0.0244101068164
e	0.00690902677591	0.654701950399	0.239911995742	0.0118523244986	0.0103654402472	0.0209983614755	0.0113457805065	0.0439151438055
t	0.0060028477253	0.2985960958	0.574200021914	0.0190870544995	0.0121069597491	0.0248887305352	0.0145176225688	0.0506006823352
è	0.0034839938751	0.142178410933	0.786562697305	0.0225249684998	0.00933339458303	0.0099781538884	0.0070571534896	0.0188812484451
l	0.00282800635837	0.127516350311	0.759640879102	0.0745175071666	0.0170125325277	0.0052405347628	0.0051426958632	0.00810153491503
i	0.00378438201946	0.107636784437	0.549734783034	0.246329342389	0.0685489461759	0.0105152293876	0.0063744177544	0.00707612580501
f	0.00387441153982	0.0475728217123	0.463596951011	0.365865520796	0.0931979987253	0.0120871705959	0.00753486905147	0.00627024861834
a	0.00354939061327	0.0219140071374	0.39567118367	0.431915080265	0.115355522908	0.011559711332	0.00683644291716	0.0131986792228
m	0.00507662203776	0.0130951239125	0.215133054557	0.580729940088	0.140504574303	0.019815645444	0.00835220607239	0.0172928572409
è	0.00366845514592	0.0068501647375	0.127950949852	0.630291813363	0.190116338101	0.0221881474813	0.0108067593575	0.0081273843803
n	0.00144604575531	0.00321846794583	0.0846280516173	0.583731271121	0.277168886034	0.0345937914938	0.0101845578858	0.00502893159343
o	0.0021808024251	0.00377148898194	0.0531937758724	0.482192190374	0.260110792011	0.163111590498	0.0240735290619	0.0113658245311
a	0.00729956647503	0.00960500986065	0.0369046616241	0.329007060125	0.251342834004	0.275729070166	0.047852331354	0.042259473177
p	0.00887291599168	0.0123268086202	0.0367894728747	0.235270226708	0.408169908001	0.202167428055	0.0506492434513	0.0457539937257
p	0.00483965426389	0.00863939454007	0.0270833209582	0.249514225569	0.563761659334	0.094609550685	0.0345547014838	0.0169974696419
è	0.00214752725463	0.00486202254669	0.0183073823194	0.21704307519	0.460739929778	0.225423153562	0.0639017661613	0.00757510241397
n	0.000899941551543	0.00232515702223	0.0102880803065	0.110122588397	0.290801453259	0.480354697854	0.0984881067204	0.00671994327132
a	0.00123803945051	0.00238852104741	0.00556533946883	0.057837787799	0.184120577753	0.624661932618	0.10629118024	0.0178965934238
o	0.00482439101684	0.00577872658247	0.0128082703229	0.0574483775997	0.121032535918	0.552318564206	0.186074443413	0.0597146444746
m	0.00625962047228	0.00619557259416	0.0142775517743	0.0519247528666	0.0916981059727	0.525537974735	0.233288401138	0.0708179904915
a	0.00485740295743	0.00903032793139	0.0169901782581	0.0410107469555	0.0700560826576	0.423339008912	0.400304727046	0.0344115027638
r	0.00359990145248	0.0093162665938	0.0173831108327	0.0350128439852	0.0559264537525	0.172438076971	0.686442625682	0.0198807145213
è	0.00160022105083	0.00344313278127	0.00685813102423	0.0148127559951	0.0301108264508	0.0881346099903	0.838807011894	0.0162333248404
i	0.00155470875028	0.00326032889376	0.00812580800808	0.0314933289984	0.0431522711503	0.0731414659968	0.817343623965	0.0219284466135
</S>	0.00227592832514	0.00455669144688	0.011640526504	0.0528000969992	0.0572025505752	0.0962659654984	0.743001361982	0.0322568408068
