 	sicuramente	stanno	ancora	svegli	</S>
s	0.9861889	0.0035629165	0.0017594687	0.0040016872	0.00448693975
i	0.986710533333	0.00313844186667	0.00231973336667	0.00363516301667	0.004196087576
k	0.979568064444	0.0141556524556	0.00301495058889	0.00153250672222	0.001728850838
u	0.975060224815	0.0193975721519	0.00352508986296	0.000808427254073	0.00120869711933
r	0.825861891605	0.164240712717	0.00732948195432	0.000700370798024	0.00186749355978
a	0.716084830535	0.260472997572	0.0175254386514	0.00106096719934	0.00485572051993
m	0.539066552178	0.396542519191	0.0265585568838	0.0122245687331	0.0256077615066
è	0.217843598059	0.677838183064	0.0570528996279	0.015544219011	0.0317210880022
n	0.086908372353	0.823281794355	0.0641157612093	0.00891607910367	0.0167779841674
t	0.0390041259843	0.862852851452	0.0412852617364	0.0394471520346	0.0174105863891
e	0.0186326618614	0.828750423817	0.0921943259121	0.0463825735782	0.0140400337297
s	0.0111080606205	0.821376877939	0.109806907304	0.0454484494261	0.0122597108432
t	0.0159508372068	0.81586307598	0.0849697511013	0.0610624688087	0.0221538699477
è	0.0170195410023	0.587755345327	0.337403880367	0.0391694766029	0.0186517756492
o	0.0129685416008	0.276648135109	0.666403726789	0.020471225201	0.0235083568831
n	0.0112559415003	0.11960051737	0.514826352263	0.327565210067	0.0267519152944
e	0.00600664056677	0.0564299981233	0.498558760754	0.426049275222	0.0129552797648
a	0.0128032596223	0.0378635980411	0.516687270251	0.388171703607	0.0444741815883
n	0.0150268318741	0.017484586247	0.211955162084	0.699092484536	0.0564409418628
k	0.0715314076247	0.0671512103157	0.262287576028	0.572440111512	0.0265896689543
ò	0.0905333246749	0.0935746534386	0.564557312009	0.222285264837	0.0290493986514
r	0.0321037455583	0.0427310633795	0.522053597336	0.364434432612	0.0386771115505
a	0.0181184800528	0.0956736333598	0.454755125779	0.397697636404	0.0337550911835
a	0.0579380030176	0.164305134453	0.508306918593	0.221478927668	0.0479710057278
t	0.138784497673	0.125390507151	0.305603883531	0.330688532556	0.0995326265759
s	0.148584335891	0.108013074717	0.35444234851	0.285660061519	0.103300251192
ù	0.0818693739637	0.135476154906	0.532664592837	0.12873940784	0.121250516064
n	0.0335167353212	0.100938641302	0.362959760612	0.275377972613	0.227206918688
n	0.0138880570071	0.044089488434	0.157959463204	0.316093218538	0.467969789563
i	0.0115810722357	0.106880887811	0.234533577735	0.183957743846	0.463046741188
t	0.0100886065119	0.121952749904	0.231850216178	0.181136394615	0.454972048396
i	0.032212654604	0.153083580601	0.232074608993	0.130695755538	0.451933369465
</S>	0.058464822302	0.2445904553	0.347486224497	0.078448258769	0.271010179733
