 	non	mi	aspetti	che	non	vengo	</S>
m	0.40505945	0.441772035	0.0774452176	0.0071101362	0.02481173035	0.024715735375	0.01908572935
ì	0.1897924645	0.648712178333	0.0821956105333	0.0105938480667	0.02489231035	0.0251285908917	0.0186850084167
m	0.0801901686667	0.701393526111	0.143972501511	0.0198193726889	0.0205868760167	0.0249687427306	0.0090688174389
e	0.0610513072222	0.49595846537	0.234282910504	0.124201271896	0.0303278706722	0.0380818862435	0.016096282813
m	0.0530734974074	0.270393863457	0.383671010168	0.190185433965	0.0414321342241	0.0426378997478	0.0186061279377
ì	0.0310002079358	0.104769398819	0.383492541389	0.374629677988	0.0453578190747	0.0508376125826	0.00991272241257
n	0.0159295861119	0.0453857036063	0.22492902513	0.578561292663	0.0614574506916	0.0593319891942	0.0144049722375
i	0.0145755903706	0.0379574868688	0.15325813271	0.604964397554	0.0648748035639	0.106621209731	0.0177483955792
k	0.0115824914569	0.0333402107229	0.06088339957	0.668403665851	0.080378981188	0.13573591491	0.00967533315973
a	0.0164057614856	0.0279728886743	0.02653011369	0.71275530195	0.0819086907293	0.123374156637	0.0110530965199
e	0.0340372271619	0.0344490832248	0.01484370473	0.614002313983	0.145521987243	0.105840123879	0.05130559784
n	0.0319404703873	0.0225145334083	0.00976279897667	0.471244587994	0.195593485748	0.206346429626	0.0625977566133
è	0.0200816161291	0.0207929348028	0.00638694805889	0.418317769331	0.106789268583	0.400291799875	0.0273397212044
r	0.0142547784097	0.0183002103243	0.0043477390963	0.294161344777	0.059859151861	0.590841319958	0.0182355094015
k	0.0232165545032	0.0099948044981	0.0071762464421	0.214069346592	0.118561656287	0.595826793319	0.0311546494672
o	0.0337695078344	0.0215543388327	0.0141748921474	0.172838759864	0.128139708096	0.597454331106	0.0320684981557
m	0.0279582166115	0.0224894220109	0.0170538347158	0.078327458288	0.130634932032	0.692474397035	0.0310617220519
e	0.0504459798705	0.0378325420703	0.0161313015719	0.0652705114293	0.131550004344	0.671174832345	0.0275947863173
</S>	0.0741306949352	0.0631752210351	0.014492436786	0.0874558527147	0.077245717672	0.668637486172	0.0148625716086
