 	vengono	vestiti	</S>
è	0.9892017	0.0083468348	0.00245153475
r	0.97010865	0.0258357371333	0.00405566655
k	0.641609102667	0.345816075711	0.0125748201833
u	0.391380436889	0.591284691904	0.0173348647278
t	0.302862410963	0.674296430635	0.0228411832426
t	0.106982015654	0.850288753545	0.0427292744142
e	0.134925705218	0.802090194515	0.0629841448047
n	0.144808449206	0.680637014838	0.174554541602
d	0.0503184288687	0.519789088279	0.429892467201
i	0.0302717856229	0.566022529426	0.403705647734
m	0.0326486998743	0.745680926475	0.221670331245
è	0.108195696958	0.733492812158	0.158311489082
n	0.135674940986	0.730893004053	0.133432058361
a	0.287552305662	0.576332098018	0.136115579454
</S>	0.488692252831	0.405968324009	0.105339399727
