 	dove	aveva	per	stare	non	aveva	</S>
p	0.915273775	0.066600571	0.001375465715	0.0006410718	0.00022606105	0.0032690675	0.012613935575
u	0.700535591667	0.247685723667	0.0102824492717	0.00752720146667	0.00830651625	0.00734649516667	0.018315978525
ì	0.355990915556	0.559783517889	0.0151929237572	0.0107700896889	0.0168702504167	0.00911342272222	0.0322788775083
c	0.129514996052	0.784263015963	0.0230108802524	0.00669513976297	0.0127879004056	0.00994519257407	0.0337828778361
h	0.047417806884	0.794733681988	0.0842889934175	0.0121565142543	0.0300938807352	0.0144754165247	0.0168337469454
e	0.0272866302947	0.687544460663	0.174035037806	0.0452166860848	0.0380407522451	0.0180648665082	0.00981161731513
n	0.0195870707649	0.488841370221	0.359204645935	0.0582172260283	0.0227698217484	0.0396302155027	0.011749650105
a	0.0231260425883	0.256164738407	0.414353588645	0.197628506009	0.0247244505828	0.0685427385009	0.0154599132017
s	0.0242600705294	0.118641301802	0.447923019548	0.25842081367	0.0246671341943	0.114524546167	0.0115630842339
t	0.00902598644313	0.045423655934	0.602866776516	0.155913996223	0.0506547543981	0.120100794722	0.0160140234113
a	0.00754091308104	0.029716087978	0.470993358839	0.290035425408	0.0761182747994	0.104159570907	0.0214363871371
s	0.00753524786035	0.0250924626593	0.26360483628	0.338896748469	0.0798537982665	0.270647463636	0.0143694662124
ì	0.00402690328678	0.0154759138864	0.153451365093	0.365178442823	0.113558406089	0.341387427879	0.0069215599708
e	0.0355089232623	0.121225002295	0.0613161756977	0.338034795274	0.0939215792297	0.344901249293	0.0050922686236
n	0.0457676623874	0.152903256098	0.0367224795659	0.143135576091	0.0580820536099	0.554907916431	0.00848106227453
ì	0.0187243000958	0.0656697790327	0.0267138879553	0.0728241610303	0.0465959035366	0.76009333881	0.00937866645818
c	0.0095254231986	0.0376386266776	0.0103783430518	0.0357303720101	0.0439477968455	0.843794479603	0.0189849586861
h	0.0038500392162	0.0165954133925	0.00424616051727	0.0203626963367	0.0916756622818	0.818918703201	0.0443513042287
e	0.0114641420554	0.0194233269642	0.00614183837242	0.0380378484456	0.118954174094	0.756603557734	0.0493750980762
</S>	0.0207255130277	0.0289165834821	0.00965478068621	0.0579141892228	0.117295782047	0.724733748867	0.0407593690381
