 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.8008008	0.0386218464	0.00257985945	0.004225495525	0.00473299535	0.00299015872	0.008648980525	0.13739980375
s	0.54927011	0.0750307748	0.03075729335	0.012725092175	0.0483723221167	0.02724625224	0.108315640175	0.14828247125
ò	0.449943246667	0.151153292933	0.06854139945	0.0202776983917	0.0653809947056	0.0368561754133	0.142577726725	0.0652694425833
z	0.363344755556	0.307935847644	0.147299974817	0.0196190211306	0.0340795262352	0.0198226904711	0.077736875575	0.0301613073611
i	0.182003413519	0.284652467215	0.359565091606	0.0167647620435	0.0579907060784	0.0278399374904	0.056878844525	0.0143047632204
m	0.0970601978397	0.116695134405	0.602288630535	0.0449749483478	0.0646936066928	0.0324952484968	0.034782263175	0.00700992817347
i	0.0964747709466	0.057759802135	0.568898516845	0.0598825347826	0.113095376898	0.0481977354989	0.039972180725	0.0157190450578
m	0.0949339721822	0.032626594045	0.396592352282	0.236413196928	0.128855642966	0.049817522633	0.042760813575	0.0179998869193
i	0.0653435759274	0.029427974015	0.288638984094	0.316308912309	0.112652124989	0.0615955816777	0.0718993571917	0.0541334892064
l	0.0555620770091	0.025612503405	0.152000796198	0.167170044103	0.27739341833	0.0903609972259	0.166434609064	0.0654655655355
ì	0.0204648976364	0.00957234166833	0.0958823868993	0.171331528034	0.44604397611	0.0772685690753	0.156821321355	0.0226149913352
s	0.00880998511213	0.00545786092278	0.114854575633	0.373742096011	0.36626079537	0.0528992606918	0.0664950321183	0.0114803831351
i	0.00795897900404	0.0101411558743	0.0996310918777	0.36103888867	0.352340748457	0.109764774564	0.0503702707061	0.00875404627837
a	0.0211565013347	0.0154448616248	0.0594129016259	0.137051629557	0.500291582819	0.199290574855	0.043973622902	0.0233782849928
t	0.0213955495116	0.0114204500416	0.0273077335753	0.0593632509857	0.60413766094	0.200212121618	0.0489271303007	0.0272360879643
s	0.00989124700387	0.0106022735139	0.0159706932251	0.0245608811286	0.67886650698	0.186753843873	0.0637440577669	0.00961049832143
è	0.00582458112462	0.00972389942797	0.0125354877417	0.0114051685762	0.581571482327	0.325334837958	0.0499927069223	0.00361187080714
t	0.00220025853154	0.00402858139932	0.00569407344723	0.0072261567254	0.468880074109	0.468964495986	0.0405194389741	0.00248699566905
ù	0.00108996695718	0.00264119923311	0.00391787654908	0.00657291290847	0.341531754703	0.583036675329	0.0588610563247	0.00234861502302
o	0.00675161429906	0.010611125511	0.0102310600497	0.00419617613616	0.192356464901	0.67887795511	0.0888288121082	0.00814680940767
m	0.00899649099969	0.018106337837	0.0156438876832	0.00510732204539	0.131742059967	0.720064385037	0.0819892583694	0.0183502554692
e	0.00643128856656	0.014223087879	0.0141848295611	0.0059150821818	0.092256036989	0.739191408346	0.11231140379	0.0154868532231
t	0.00512036109885	0.00915169075967	0.00963894772037	0.00558257792727	0.060004317663	0.541424952782	0.35593844793	0.013138749141
i	0.00444135247628	0.00916871178656	0.00735841677346	0.00554204434242	0.041426429221	0.338834317594	0.58126303931	0.011965750047
n	0.00415032078209	0.00897901692885	0.00637737575782	0.00459139661414	0.0323353339403	0.216075891531	0.715132256437	0.0123584620157
A	0.0016076288507	0.00530074284295	0.00278648055261	0.00311054141471	0.0153524415134	0.106306061844	0.852049062146	0.0134870946719
n	0.0007037235869	0.00242803370765	0.0013716455242	0.0013584526149	0.0102852643045	0.0711496312813	0.906359420715	0.00634387039063
n	0.00117050089897	0.00886342546255	0.00638795971473	0.00649362680497	0.0125268985682	0.203254092094	0.729555506905	0.0317480542969
a	0.00523623086632	0.0241979404875	0.0221511922382	0.020970317935	0.0571400988561	0.304409847365	0.513668895635	0.0522255057656
</S>	0.00851431293316	0.0319588392437	0.0322608096191	0.0298356019675	0.095988299428	0.262574098682	0.494016037817	0.0448519743828
