 	non	ti	dimentichiamo	mai	</S>
e	0.4869552375	0.296719131	0.007192818585	0.00913353675	0.1999992825
s	0.167768107167	0.581689930333	0.00963313186167	0.03445346525	0.206455346167
e	0.0636971750557	0.755459143444	0.0343036822872	0.05552683675	0.0910131250557
a	0.0304517213519	0.548167106481	0.133247624096	0.05433890025	0.233794632685
l	0.021381442784	0.220542506827	0.188196824699	0.106133458083	0.463745790895
l	0.059176449928	0.144969981609	0.2161115649	0.212745872694	0.366996156965
i	0.114881889976	0.251300960536	0.240008261633	0.241068077565	0.152740844322
m	0.0933436196587	0.233215162179	0.411583487211	0.178340905855	0.083516871774
o	0.0582081748862	0.166803769393	0.415012187404	0.276198761952	0.083777132258
n	0.0456144396287	0.142961508131	0.169639299135	0.573107673984	0.0686770574193
ù	0.0200692335429	0.0596194450437	0.088345619045	0.792203511328	0.0397621661398
m	0.00865792244763	0.0302091630146	0.0670062593483	0.869769737109	0.0243569062799
e	0.0168553834159	0.0373389136715	0.0647355427828	0.867109579036	0.0139605413266
m	0.020638511472	0.0391057377905	0.0411741255943	0.879889993012	0.0191915914422
à	0.00998706769067	0.0341021218302	0.0196603991981	0.918418617671	0.0178317322474
i	0.0765552084302	0.0901396219434	0.0282711673994	0.786685079224	0.0183488658491
</S>	0.145908544215	0.132195605972	0.0424363996997	0.653864219612	0.0255952014245
