 	non	so	cosa	stai	scrivendo	</S>
e	0.4581721164	0.466550035	0.0007052145	0.0023193052	0.00190810165	0.070345224
n	0.161877362733	0.671179171667	0.00415988473333	0.0391912568667	0.0356174255833	0.087974888
e	0.0738780992443	0.486777553889	0.0516270365778	0.224295045622	0.0775969251944	0.0858253193333
t	0.0484058277481	0.327191017963	0.0727304518593	0.363329881874	0.0918286317315	0.0965141764444
s	0.057238731916	0.250609281988	0.129870256953	0.367497560625	0.123075753911	0.0717084011481
è	0.051885315972	0.097715580296	0.284754452318	0.420017786875	0.115637874637	0.0299889603827
r	0.0216167232573	0.035411214832	0.545638620773	0.316143856625	0.0677909492123	0.0133985981276
o	0.0144003350191	0.0142786061007	0.511501326924	0.285531646542	0.162700467404	0.0115875953759
e	0.028428649673	0.0206191040902	0.200082590641	0.481468382181	0.204019560468	0.0653817274586
s	0.0285420263577	0.0247311160301	0.0733837898137	0.670766360727	0.121510666823	0.0810660866195
ù	0.0132498285859	0.01052823109	0.0259990354046	0.787539673576	0.132324467608	0.0303588212398
t	0.0059533308853	0.00369626716667	0.0107684931015	0.734263977859	0.229583582536	0.0157343973133
i	0.00933446431843	0.00189523431222	0.0142426534672	0.55437851262	0.399682997512	0.0204661557711
s	0.0112620783395	0.00348174877074	0.0150632320891	0.34048798754	0.607319195837	0.0223857455904
t	0.00608395767983	0.00381078419025	0.0130078982964	0.184983012513	0.770644591946	0.0214697128635
e	0.00851003255994	0.00266630253008	0.0230827180988	0.105403574171	0.839335297315	0.0210020289545
g	0.00840478128665	0.00586600251003	0.0199794453663	0.0581157696237	0.886081315772	0.0215526399848
r	0.00446546812888	0.00636056963668	0.00994917978877	0.0252847474412	0.890209105257	0.0637308709949
à	0.00335991914296	0.00310747561223	0.0112155552629	0.0170523358137	0.889182435086	0.0760822593316
f	0.00196890891432	0.00173740021741	0.0092280308543	0.0125374196046	0.906731155029	0.0677971237772
i	0.0190588513381	0.00600977581914	0.0671381227181	0.0736420902015	0.764430628343	0.0697205809257
</S>	0.0369648141691	0.0108451934096	0.128971296359	0.138264395101	0.630159814172	0.0547945274628
