 	se	vieni	a	casa	ogni	sabato	</S>
a	0.54300189	0.07443487	0.0058916965	0.0037264759	0.00485740165	0.0052692379	0.362818447
n	0.251132478867	0.354208353333	0.0108715645	0.0048395119	0.00573533841667	0.0105370456333	0.362675688
è	0.0864730321557	0.740465051111	0.0181602941667	0.0064747613	0.00791195767222	0.0118141402111	0.128700720333
r	0.0324117991186	0.845061517037	0.0448697380556	0.0102975261	0.00822681062407	0.0094115919037	0.0497209849777
t	0.0267549144395	0.614802352346	0.163414999352	0.0294253180333	0.058596322608	0.0776245921346	0.0293814931926
i	0.0282650601465	0.275513760782	0.334989983117	0.122527035011	0.106335296203	0.109856565378	0.0225122774975
è	0.0185321953822	0.147511660261	0.305786746039	0.33940774167	0.0810151340677	0.058321604126	0.0494248835992
s	0.0108902160607	0.0820689777537	0.185850550346	0.57430052389	0.0475331446892	0.0403568713753	0.0589996908664
s	0.0066023333869	0.0317716784179	0.136380046782	0.566313997963	0.102316681563	0.0952881727918	0.0613270432888
u	0.00628368489563	0.012101643406	0.074665177594	0.376451525988	0.276262163854	0.190707754264	0.0635280235963
k	0.00769509629854	0.00543571263533	0.0341831266313	0.221529475329	0.328023781285	0.371322388088	0.0318104170321
u	0.00849597443285	0.00454658887844	0.0267534499771	0.126685729776	0.297181613762	0.509152492696	0.0271841426774
à	0.0176164138109	0.0289777685595	0.0374964383257	0.110266481259	0.256209657921	0.478060680899	0.0713725578925
i	0.0243487056036	0.0369334358532	0.0299045364419	0.083419808753	0.145909897974	0.479682043633	0.199801559297
s	0.0151373474012	0.0158826214511	0.0152869484806	0.036374570251	0.074700522658	0.651483031211	0.191134968766
à	0.0083104251004	0.0130042989837	0.0137658014935	0.031492834417	0.050425998886	0.80213997707	0.0808607202553
m	0.00480166612147	0.0109010009446	0.0111140757312	0.0250804958057	0.036980100962	0.868028892357	0.0430938226851
b	0.00169717743516	0.00413577316487	0.00584543687707	0.0143205992686	0.0267755369873	0.895919830786	0.0513056918284
a	0.00214309488505	0.00956501928829	0.0174157766924	0.0577383447562	0.0591936209958	0.785429933595	0.0685142299428
</S>	0.00333717944253	0.0164170616441	0.0290220453462	0.100010622378	0.0873850304979	0.706072201798	0.0577558589714
