 	tu	le	hai	cucinati	le	verdure	</S>
e	0.90686695	0.0662797615	0.0038374093	0.0061712867	0.001320370475	0.00397217985	0.011552088225
s	0.677728216667	0.232082103833	0.0191147736667	0.00878448356667	0.003748027225	0.01773378295	0.0408086494083
ù	0.436859362222	0.445269767944	0.0343333438889	0.0129573275222	0.00542807100833	0.0212256089833	0.0439265412028
t	0.264412625407	0.660705305981	0.0324417806296	0.0134153352741	0.00382630746944	0.00952850889443	0.0156701569343
a	0.116692766469	0.65070129866	0.126042626877	0.0697243371914	0.0135669159565	0.0170476981981	0.0062243707781
m	0.062523018623	0.39913971622	0.247480548959	0.186355972397	0.0534649633188	0.0433871417327	0.00764862925937
à	0.024638098841	0.206502688407	0.417507572986	0.213290370799	0.0780945477729	0.0523058999109	0.00766083076979
r	0.00993330758033	0.0870942541357	0.626838240995	0.172428350266	0.063516886591	0.0356506863036	0.00453832247326
e	0.0126660309934	0.0508688673786	0.590871910332	0.142223296755	0.109892496197	0.0847008707679	0.00877656302442
t	0.0134496931645	0.0302393394262	0.370528816777	0.265810655585	0.183442602066	0.127306293589	0.00922258617481
s	0.0055619892215	0.0128872402421	0.182382927592	0.486769651862	0.217367817355	0.085053196863	0.00997714922494
e	0.00720076140717	0.012939408214	0.0885619921973	0.426509980621	0.363324995785	0.0911412679543	0.010321550475
t	0.00700167525906	0.0109470223047	0.0453296033991	0.234529546874	0.558479511928	0.131991999318	0.0117206048917
a	0.00773267554302	0.0132327966682	0.0335164744664	0.142105188958	0.508100137309	0.274253049773	0.0210596862972
l	0.00799370645434	0.0139868336961	0.0272275655555	0.079437733986	0.42816704577	0.422197043258	0.0209900807657
à	0.00413743075811	0.00697568660537	0.0161749482518	0.0414918709953	0.341139911923	0.578003141086	0.0120770114886
c	0.00288414737937	0.00466925136846	0.0133288250839	0.0191290650651	0.168828303974	0.781454933695	0.0097054523962
h	0.00163277555312	0.00258915305615	0.00987081469463	0.0097996904217	0.119388347991	0.823312697898	0.0334064901321
a	0.00648837648437	0.00870410901872	0.0228917695649	0.0143884481406	0.0992096386637	0.810106165966	0.038211479044
n	0.00774717740146	0.0101332926396	0.0236723675083	0.0163945697135	0.0605846445546	0.811914188655	0.069553775348
a	0.0155579383738	0.0255684265132	0.0244194974894	0.0456183162378	0.130172113852	0.678188096218	0.0804756444493
</S>	0.0270164441869	0.0457040532566	0.0365350747447	0.0783234451189	0.219110376926	0.549721948109	0.0435886812246
