 	l'	ho	sentito	quando	veniva	</S>
t	0.91016255	0.0352713425	0.0102022432	0.0087395965	0.00475356795	0.03087070635
o	0.60411222	0.0492780541667	0.242789964067	0.0422063508333	0.0256320913167	0.03598129845
n	0.216215783	0.344977968056	0.315857257489	0.0674563526111	0.0368878147722	0.0186048223833
ì	0.101704712333	0.523220199352	0.288382735296	0.058990771537	0.0200865677907	0.00761502942777
k	0.0721106257777	0.352863823117	0.499369371765	0.0497561388457	0.0133935714636	0.0125064668759
u	0.0476009219259	0.207902641039	0.597303627255	0.101532286282	0.0293797791545	0.0162807399586
s	0.030427354042	0.0854183276797	0.473136282418	0.333816762094	0.0692842380515	0.00791701919287
a	0.023709705414	0.0387962132266	0.322320767473	0.505110554031	0.0878965726838	0.0221661736043
m	0.0214262064713	0.0220623501422	0.209175400158	0.626031284677	0.0932940142279	0.0280107627014
ò	0.00795654401377	0.0098787914474	0.0801566527193	0.772923828226	0.118245854743	0.0108383311338
t	0.00327036534126	0.00559106104913	0.0404935562398	0.790244676075	0.150421274914	0.00997906911127
t	0.00263831852709	0.00544602291638	0.0285371297466	0.596068448692	0.274715224971	0.0925948957038
e	0.00445741620903	0.0158669363055	0.0339109159155	0.301794816231	0.527309718324	0.116660214235
è	0.00418055400301	0.0185258367685	0.0264060279052	0.145317932077	0.761000206108	0.044569432745
r	0.001746142057	0.0084968066695	0.00928242908173	0.0664078885923	0.893047935369	0.0210187732483
k	0.00101706684167	0.0040208446365	0.00530991987391	0.0370271317641	0.821781945123	0.130843057749
a	0.00116723494722	0.0040973965455	0.0064796602913	0.0288100749214	0.789303915041	0.170141702583
t	0.000962749902407	0.0030370151185	0.0051781952971	0.0132101065738	0.892875938347	0.084736008861
o	0.00322929815414	0.0334630746428	0.00808642329903	0.0394404804579	0.864127612782	0.051653148587
</S>	0.00571984107707	0.0653116423214	0.0128928501495	0.071353070229	0.817132856391	0.0275897807435
