 	sto	ancora	cucinando	</S>
s	0.991175145	0.00329631535	0.00280609555	0.002722451
t	0.990376598333	0.00416920111667	0.00364890818333	0.00180530857667
e	0.973800799444	0.0212414890389	0.00418942372778	0.000768317993557
a	0.672293253148	0.124767208013	0.0228394822426	0.180100086723
n	0.275823942716	0.365998536004	0.0785691087475	0.279608408908
k	0.149028465905	0.598864892001	0.113721111582	0.138385547969
ò	0.0930117073017	0.774211030667	0.0811256388607	0.0516516462963
r	0.0377117771006	0.867086026889	0.0578339409536	0.0373682307388
a	0.0583723117002	0.734678438963	0.167048365318	0.0399008922463
m	0.0657856772334	0.546412686321	0.342157701773	0.0456439594154
a	0.0549650424111	0.384156458774	0.510390810591	0.0504876684718
r	0.047843199337	0.190276520258	0.733198846864	0.0286814159906
è	0.018667202879	0.0732245134193	0.892719082288	0.0153891978302
o	0.0208931988597	0.0703525938064	0.897490327429	0.0112638847434
n	0.0201056251199	0.0624478834688	0.904312029143	0.0131344823811
t	0.0173401848733	0.0343983043563	0.927873716381	0.0203878514604
a	0.0587085792911	0.0546013591188	0.85643690546	0.0302531901535
</S>	0.0941361096455	0.0725236095594	0.79571387273	0.0376263985768
