 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.979287295	0.011793826	0.000559375245	0.000774527465	0.000565943935	0.0014211098	0.005597964
ò	0.976233781667	0.0152405576667	0.000578317561667	0.000877061578333	0.000542016395	0.00132510594	0.005203121721
p	0.973005293889	0.0157147862222	0.00218835445389	0.00172948398278	0.00109115544833	0.00304092292	0.003229881428
u	0.709652237963	0.161679108407	0.039271957818	0.0255440199943	0.0388546910828	0.01093748114	0.0140604306093
o	0.308670813321	0.530516909469	0.0498380728893	0.0323603022781	0.0506606570463	0.0111004291333	0.0168528552698
G	0.129129750107	0.793952083156	0.0179923634464	0.021882229706	0.0187247589341	0.0115536107978	0.00676525362327
i	0.066733262369	0.749723624385	0.0356522000155	0.0252561102353	0.0146314412114	0.0134152034659	0.0945881466744
o	0.0288455067897	0.772487591462	0.0407294908385	0.0155891940451	0.0116039251038	0.0063896748653	0.124354632525
v	0.0127929271299	0.914160580487	0.0151938328462	0.00622768054837	0.00442573400127	0.00269354819843	0.044505784275
à	0.0062433284433	0.957157363496	0.00759358518207	0.00499777498279	0.00415536316709	0.00220634683281	0.0176463127917
n	0.00352683174777	0.949214074499	0.0218428362274	0.0082291362276	0.00571680308903	0.0037702929776	0.00770002753057
n	0.00198245063259	0.6615156615	0.254178338742	0.0126046780759	0.018683555163	0.0152787036592	0.0357566208769
i	0.00172901942753	0.3083556805	0.387253566247	0.0667589600253	0.143008729721	0.0442033928864	0.0486906856256
j	0.00166646685918	0.2844467835	0.244548172082	0.141832836675	0.203579729907	0.102114097629	0.0218119282085
ù	0.00112550440306	0.2393729745	0.150005180694	0.285664802225	0.202182136636	0.112947326876	0.00870209940283
r	0.00082878154102	0.124075456833	0.149074233565	0.406746967408	0.213947532212	0.098106763292	0.00722026246761
i	0.00166231905367	0.0758135718443	0.131832536522	0.409838775803	0.238744357404	0.128318961097	0.0137894464892
s	0.00191842840456	0.0288858158481	0.054767276174	0.411482725268	0.265133932468	0.225302910366	0.0125088691297
e	0.00179862618819	0.0132506005494	0.0305951273913	0.350678151756	0.296007787489	0.294749420122	0.0129202420099
è	0.00388225769606	0.0065968672498	0.0240625747971	0.281496600585	0.359590432496	0.305708333374	0.0186629173366
s	0.00355590971869	0.00370640374993	0.010792905669	0.195915470195	0.313121837499	0.459554301125	0.0133531695455
s	0.00128549088156	0.00143120398998	0.00676679962633	0.133711780065	0.2958901425	0.534151590375	0.0267629809485
u	0.00134648731585	0.00087089793666	0.00877758654211	0.120215723355	0.281450290833	0.545173330125	0.0421656669828
</S>	0.00200054965792	0.00092986756833	0.00953932427105	0.0932269966775	0.241349485417	0.613666215063	0.0392875484914
