 	quando	divento	vecchio	vendo	mia	casa	e	vado	a	vivere	al	mare	</S>
m	0.935137	0.0128986465	0.0036087643	0.0022957551	0.00048544836	0.000345807015	0.00066758901	0.000320639935	0.000790593245	0.001305581395	0.00295442597	0.011864526175	0.02732529655
ò	0.923276233333	0.0229864208333	0.0055986128	0.00250870766667	0.000533645586667	0.000321750698333	0.000666067503333	0.000287932067	0.000806258221667	0.00128722245833	0.00289674375667	0.0117718982317	0.02705855338
t	0.920134634444	0.0479721866111	0.0124212975	0.00299063785556	0.000333957675556	0.000227075502778	0.000359397654444	0.000246909491	0.000371388472222	0.000514349662777	0.00103872844622	0.00409030037057	0.00929916542333
t	0.646269871481	0.102465463537	0.119867188833	0.00547451378519	0.0592938315385	0.0142527044609	0.0215432051048	0.002868773897	0.00844474361574	0.00328738773759	0.00392339447607	0.00735724924352	0.00495171170778
e	0.27487023716	0.335538454512	0.208783009611	0.0148541849284	0.0801798704128	0.0196756668203	0.0291086999016	0.00370985293233	0.0114948360719	0.00438774044586	0.00521331062536	0.00855943054784	0.00362470880259
j	0.109878845053	0.615738568171	0.184200586537	0.0204610983095	0.0301961819043	0.00915080937343	0.0119661073005	0.00372878844411	0.0048840871573	0.00215330721529	0.00222863042179	0.00343857558261	0.0019744100342
è	0.0401561490177	0.679986852724	0.220832678846	0.0223701581032	0.0134974141348	0.00581619852448	0.0062390713335	0.00377479694804	0.00246873934243	0.0012448226151	0.00095018605393	0.0015450155342	0.0011179177314
n	0.0154805852726	0.599376454241	0.323021526282	0.0205554440344	0.0280301030116	0.00363724607483	0.0037538415445	0.00169838441601	0.00141171000414	0.000726057215033	0.000485736844643	0.000805226828067	0.00101768173047
o	0.00958679835753	0.40244098808	0.473041942094	0.0549448420115	0.0360918633372	0.00985013729161	0.0058550021815	0.00204951593867	0.00209611970138	0.00103818010501	0.000558940541548	0.000702549442689	0.00174312287682
m	0.00757714501918	0.20769394936	0.634475314031	0.0924845893372	0.0253777847791	0.0160788154305	0.0073840220605	0.00284343274622	0.00238578993379	0.00107894811834	0.000612095437183	0.000586451487563	0.00142165782227
e	0.00584648057306	0.11076271912	0.624390131344	0.211871488446	0.0207620252597	0.0126143334768	0.00545401648683	0.00220418692874	0.00169452841126	0.000776711256113	0.000576765712394	0.000660259079188	0.00238634460409
