 	deve	essere	bianco	</S>
è	0.9908495	0.00469778945	0.002627269285	0.00182539375
n	0.979943116667	0.00973292758333	0.007513284285	0.00281062098333
a	0.733167155556	0.233542699861	0.029976459095	0.00331369646111
è	0.345351503852	0.560635233287	0.0628115996983	0.0312016813537
n	0.129311099617	0.723208961096	0.0975922765661	0.0498876491179
e	0.0863789848723	0.701204357032	0.180541838855	0.0318747883726
à	0.0919090136241	0.463519022344	0.385120522952	0.0594514361242
s	0.0530911956547	0.203304399781	0.677532690984	0.0660717253747
p	0.0193807707649	0.0830701945937	0.851615000328	0.0459340717916
r	0.00801344203497	0.0410102706646	0.740785686776	0.210190653931
o	0.0237841846917	0.0500742136882	0.658349712259	0.26779193131
</S>	0.0433452623459	0.0786286618441	0.708340831129	0.169685285655
