 	dei	genitori	</S>
à	0.97190805	0.0249783615	0.003113571085
t	0.91689643	0.0773983005	0.005705277685
t	0.661345923333	0.222345696833	0.116308393895
u	0.405119887778	0.441585985611	0.153294139298
s	0.237724427759	0.70299966187	0.0592759330993
g	0.0807264149197	0.827331030623	0.0919425496998
e	0.0456756254732	0.847937733541	0.1063866359
n	0.0334332609111	0.90266781118	0.0638989113
i	0.055072816057	0.82325483706	0.121672310433
t	0.0695079523523	0.808551745687	0.121940266611
ò	0.0439384054508	0.849374295229	0.106687275337
r	0.0320414191503	0.744379611743	0.223578971779
u	0.176062032717	0.586496623914	0.23744133726
</S>	0.329938406359	0.493528041957	0.17653353863
