 	non	mangiare	la	sera	</S>
m	0.491169791	0.029439822	0.050828091	0.2696740574	0.158888187
i	0.17382959	0.243862562333	0.089771857	0.280798632467	0.211737335667
f	0.0625197774667	0.588589670778	0.105861932333	0.115572717489	0.127455897889
a	0.0260919589556	0.734362690259	0.101381959111	0.0515483154963	0.0866150586297
i	0.0184175833185	0.51945490342	0.201460104704	0.0551560881654	0.20551129621
o	0.0153091084395	0.210246434473	0.323782514901	0.131239582722	0.31942234207
v	0.0135128298132	0.123728814824	0.331704201634	0.269115684241	0.26193845269
r	0.0180196209377	0.131729854941	0.408198207211	0.313022414747	0.12902990823
à	0.0177785247459	0.102170461647	0.380706815737	0.450644454916	0.04869974251
i	0.0733274703486	0.150390243882	0.280355005246	0.455873904972	0.0400533419367
</S>	0.134282850174	0.236190201941	0.293823732623	0.282497512486	0.0532056709684
