 	non	aveva	dove	aveva	per	stare	</S>
e	0.4546148495	0.056100354	0.0028024125	0.00342479655	0.00302253935	0.0084446896	0.4715903885
n	0.155103909233	0.343792787333	0.00985709533333	0.00635482598333	0.00335101801667	0.00916937963333	0.472371023167
ì	0.0536587676777	0.744552575778	0.0157976241111	0.0100503023278	0.00361854570556	0.00715649897778	0.165165721389
c	0.0216480704259	0.870413025259	0.017251559037	0.0105326141093	0.00602294623519	0.00850148165926	0.065630303463
h	0.011406646142	0.713179365086	0.194168814012	0.0120205907031	0.0137793920784	0.0228207965531	0.0326243694877
e	0.007228261714	0.366682375029	0.535987481337	0.0257002462344	0.0190072810261	0.0275827285177	0.0178116497626
p	0.0139469759047	0.15219301501	0.643128480446	0.0671797567448	0.0645250766754	0.0455286275059	0.0134981358542
u	0.0202757489682	0.0866858360033	0.456539520149	0.234492296915	0.102272208892	0.071674847502	0.0280595592847
ì	0.0133554128227	0.0533583300011	0.234416532383	0.546030032305	0.069097460964	0.0552646475007	0.0284775880949
c	0.00561547649423	0.0224512190004	0.109659173128	0.783228454102	0.0343239373213	0.0317461015002	0.0129756544316
h	0.00235816113474	0.00847461498013	0.0813860790427	0.766954718034	0.0649361981071	0.0546400411667	0.0212501662105
e	0.00191349912825	0.00401092014004	0.0638047906809	0.634027579345	0.172528409369	0.0888913903889	0.0348233720702
n	0.00289787054275	0.00326271384668	0.0326072156603	0.573596409782	0.24012869979	0.110297903463	0.0372091753567
a	0.00720383351425	0.0161901532489	0.0344002376534	0.422901796594	0.235675626597	0.229278357821	0.0543499851189
s	0.00813301177142	0.020208677483	0.0335792072511	0.200683412198	0.256620692199	0.42462623594	0.0561487467063
t	0.00491285039047	0.00809256749433	0.0117748687337	0.0972432223993	0.263577554066	0.549680778647	0.0647181639021
a	0.0132537496635	0.0171978630981	0.0237042588612	0.0884283557998	0.216339468022	0.575928972882	0.0651473513007
t	0.0153987721212	0.0199803948994	0.0279788094204	0.0757038919333	0.147113937341	0.681845770961	0.0319784592002
ì	0.00679655020707	0.0126753951665	0.0118890611068	0.0396034466444	0.095890300447	0.814067356987	0.0190779141667
</S>	0.00487824700354	0.0147155550833	0.0089712493034	0.0309509623222	0.0861733802235	0.835911878494	0.0183987155833
