 	non	ci	dimentichiamo	mai	</S>
e	0.503697585	0.11346451325	0.00529615075	0.0129708786	0.3645708645
n	0.180344390167	0.412911404417	0.00594300298333	0.0349973335333	0.365803907833
è	0.067127984789	0.763481018139	0.00483684772778	0.0371152268444	0.127438974178
n	0.0253393401963	0.90429993938	0.00424061774259	0.0204983739481	0.0456217796927
a	0.0171434180988	0.933397679793	0.00428425018086	0.0284083406494	0.0167663630309
a	0.0203272806996	0.668691486598	0.055992450827	0.0456635702165	0.209325187744
l	0.0297222538999	0.466974488866	0.105319646942	0.0835178334055	0.314465749248
l	0.0522835476333	0.528885696289	0.124970918981	0.142363281135	0.151496572083
i	0.106872544211	0.41103913543	0.163291762994	0.235864810378	0.0829317496943
m	0.102355330737	0.196550790477	0.381878140998	0.254613103459	0.0646026375648
o	0.0520094322457	0.129796138826	0.398449002333	0.367689601153	0.0520558368549
n	0.0332124939819	0.103654340942	0.157192651444	0.665450850384	0.040489651285
i	0.0193292372273	0.0461751769807	0.0794783744813	0.830085410128	0.0249317927617
s	0.0142102398091	0.0274081309936	0.0415865563271	0.894445680043	0.0223494092539
t	0.0071626444697	0.0119982591312	0.022331672609	0.936505780014	0.022001663418
ù	0.00392557035657	0.00639151414373	0.0150604333697	0.955136830005	0.0194856911393
m	0.00153425868886	0.00316390124791	0.0079394992899	0.976054193335	0.0113081635131
e	0.0203520950663	0.056149601316	0.0824737697633	0.832058664445	0.00896582830437
s	0.0268217712888	0.0739192282053	0.106700052188	0.773348341482	0.0192105834348
t	0.0102447099296	0.0266345673018	0.0386952021627	0.873074167161	0.0513513431449
a	0.0149200838765	0.0270981732339	0.0537631178876	0.841481972387	0.0627366220483
m	0.0212911776255	0.0262890985113	0.0792538139625	0.770349940796	0.102815928349
à	0.0197240782085	0.106675439604	0.0614938993208	0.704576580265	0.107529979783
i	0.0579644794028	0.205503676535	0.0802457211069	0.565210250088	0.0910758769277
</S>	0.0959334197014	0.212131933268	0.111510010553	0.459728910044	0.120695738464
