 	vado	vestito	</S>
i	0.98571375	0.0020937209	0.012192535
p	0.980156496667	0.006858152	0.012985334
à	0.976233925556	0.0118870633333	0.0118789993333
o	0.758518528519	0.0567602207778	0.184721244444
n	0.376805380173	0.280795200259	0.342399414815
d	0.146222885724	0.47369043342	0.380086704938
i	0.196030300241	0.462035484473	0.341934261646
m	0.216131190747	0.476603568158	0.307265290549
è	0.155633104249	0.426854546053	0.41751240685
n	0.132672872916	0.241644878684	0.62568226895
o	0.0903086391387	0.376997866228	0.53269349965
</S>	0.109506824569	0.607777133114	0.282716064825
