 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
e	0.9733717	0.006548867	0.00137743495	0.00035839762	9.7327825e-05	0.000251844365	0.0001267737215	9.50697775e-05	0.000234701055	0.00141231468	0.002376125645	0.00822245075	0.0055269303
s	0.896742116667	0.0649435166667	0.00368323965	0.00116165320667	0.000147709095	0.000399543091667	0.000157351497167	0.0002042726175	0.000564514041667	0.00173558646	0.00388546054833	0.0113683389167	0.0150066657667
t	0.862393955556	0.0970334635556	0.00680699255	0.00201378580222	0.00186649680833	0.000547873910556	0.000281036335722	0.000361674309167	0.000715016940556	0.00121330482	0.00405808218278	0.00766831337223	0.0150399828889
è	0.757537235185	0.201183022519	0.0205764681833	0.00346007586741	0.00262031642611	0.000924344770185	0.000436755085241	0.000334726279722	0.000443214103519	0.00105337110667	0.00265449156093	0.00331190471074	0.0054640535863
o	0.429994155062	0.301850654173	0.0280316307278	0.0058078814558	0.00536347043204	0.00384888802339	0.0291062427351	0.00936063825657	0.00821587096451	0.0374150142022	0.0326714665203	0.0270979997569	0.0812360771854
s	0.171600902354	0.421316034724	0.0851302799093	0.00660937015193	0.00803824847735	0.00449339146113	0.0385809015284	0.0124228161955	0.0110196393548	0.0493608841007	0.0442542058401	0.0378598657523	0.109313455395
t	0.0720679774513	0.661240858241	0.123848838636	0.0111503880506	0.0125158738258	0.00443052377371	0.0140774115261	0.00480843204183	0.0043080561516	0.0180510997336	0.01750322508	0.0165494947508	0.0394478694983
o	0.0628334784838	0.56220507608	0.273573111545	0.0227592226835	0.0161112212753	0.00690706292457	0.00782483714203	0.00257225034728	0.00209402086387	0.0101572002445	0.00785481636	0.00699637455027	0.0181113765328
t	0.0574088601613	0.279356472027	0.569051190515	0.0385851205612	0.0119908845251	0.00615494217486	0.00463967725401	0.00143308526576	0.00144747656796	0.00621174076817	0.00466473038667	0.00596119981676	0.0130946057776
e	0.0243541553871	0.128088438342	0.764914216838	0.0404050938537	0.0121527789417	0.00458955892495	0.00265724339134	0.000845140728587	0.00105875633932	0.00279928494272	0.00288556842889	0.00532481662559	0.0099249488592
l	0.0128418251624	0.054281313114	0.805875305613	0.0866732806179	0.0126851876472	0.00795574264165	0.00200991763711	0.000762537182862	0.00108145966311	0.00165362120757	0.00176020524296	0.00388124256186	0.00853838611973
è	0.0056932275208	0.0292381767047	0.762303548538	0.165959206873	0.0123469315491	0.0120756748806	0.00083166523237	0.000560661927621	0.0010215203427	0.000681306185857	0.00118667947765	0.00329461186729	0.00480680797324
f	0.00296816948693	0.0146205539016	0.643510556179	0.223031545624	0.0958369098497	0.0135062422935	0.00133297779079	0.000581265059207	0.0005565810559	0.000405199785286	0.000558128535883	0.0013302171691	0.00176167174775
o	0.00318317004231	0.0095672285672	0.462486145393	0.321394035208	0.13568550395	0.0557980077645	0.00345010513026	0.0022089029864	0.0031302527053	0.000686256961762	0.000627540125294	0.000898511723033	0.00088438003925
