 	siete	cucinato	</S>
ì	0.993869025	0.0030028193	0.003128211145
s	0.986481585	0.0115796911667	0.00193876267833
e	0.915127188333	0.0832441497222	0.00162870685944
s	0.633337082778	0.357495223241	0.00916773271981
t	0.306883850926	0.63828949108	0.0548266825733
a	0.185457670309	0.751433647027	0.0631087071911
m	0.114506083703	0.840445035676	0.0450488720637
a	0.090507711501	0.803903065225	0.105589184021
r	0.082172786367	0.812926445075	0.104900746107
à	0.0361455673223	0.902947715025	0.0609067101357
t	0.0224721355741	0.861568268342	0.115959606712
a	0.204534612325	0.680896956114	0.114568465904
</S>	0.394036406163	0.541753598057	0.064210033452
