 	non	li	aspettiamo	più	</S>
e	0.475161122	0.216930441	0.0439773915	0.020217334	0.243713705
t	0.178834606667	0.333385223667	0.0530584108333	0.152628881	0.282092848333
u	0.0832971535557	0.435323891222	0.0737518852778	0.234036563667	0.173590492778
s	0.0537706671852	0.360453247074	0.0867263217593	0.379949057889	0.119100710926
m	0.0770696017284	0.247524499025	0.15406081392	0.437116949296	0.0842281389753
è	0.0775824799095	0.241661463008	0.39861245464	0.211710538765	0.0704330516584
n	0.0291321529365	0.178553851003	0.645565001547	0.0878234385883	0.0589255635528
u	0.0427434746122	0.120688626334	0.579226570516	0.226437842863	0.0309035178509
m	0.0480881309707	0.0526205961113	0.594728310172	0.281477667621	0.0230853282836
e	0.0676473997569	0.0343811180371	0.520805806057	0.354278265874	0.0228874050945
p	0.0734811352523	0.023003820679	0.190451321352	0.694011998625	0.0190516956982
l	0.0271052465841	0.016366716893	0.0899128471173	0.843294566208	0.0233206362327
è	0.0134893526947	0.0167454132977	0.0562351613724	0.877269555403	0.0362605334109
o	0.0915742518982	0.0139624030992	0.0340059994575	0.831682018468	0.0287753454703
</S>	0.172553240949	0.0144062930496	0.0342020347287	0.759234359234	0.0196041132351
