 	viene	fabbricato	</S>
è	0.99026807	0.00749976255	0.002232206785
r	0.961160123333	0.03263773255	0.006202140585
k	0.639451970444	0.285967964183	0.0745800388617
e	0.261574542815	0.643977934728	0.0944474891206
t	0.127261666605	0.824415624909	0.0483226978735
e	0.065674489535	0.886492808303	0.0478327096245
f	0.0331628829983	0.927326069434	0.0395110465415
a	0.0145228444861	0.894210973145	0.0912662005138
b	0.00913901529537	0.878506174382	0.112354843505
b	0.00470044559846	0.865709891461	0.129589684502
r	0.00341657523282	0.643785977154	0.352797451501
i	0.00829265874427	0.600209005718	0.391498323834
k	0.0111251464481	0.788881355239	0.199993447945
à	0.0183762133494	0.87257420508	0.109049515982
t	0.0200973511165	0.79004016836	0.189862455327
o	0.109616543706	0.65897805612	0.231405391776
</S>	0.206444921853	0.62704867806	0.166506380888
