 	l'	ha	scritta	</S>
t	0.79441672	0.063256293	0.106762873	0.035564053
o	0.510763855667	0.324420501	0.129689681	0.0351259382333
è	0.181608914222	0.681478067	0.114094687	0.0228183433111
g	0.0837116667407	0.737804922333	0.150825335667	0.027658094437
r	0.0571519799136	0.504049660778	0.415145318556	0.023653039479
a	0.0651761836379	0.488553906926	0.433452259519	0.0128176801597
t	0.0587704359926	0.457042957642	0.475889293173	0.0082973539199
s	0.0246357747775	0.169784466547	0.780155377724	0.02542441284
e	0.185010647592	0.202427170849	0.577917107241	0.03464510428
</S>	0.350575873796	0.309500570425	0.31385845562	0.02606512214
