 	non	sono	ancora	vestita	</S>
e	0.48159866	0.100842475	0.0054772698	0.00674178525	0.40533977435
n	0.174646498	0.401956201667	0.00948752093333	0.00935056425	0.40455918045
ì	0.060110046	0.782089867222	0.0117359106444	0.00735231908333	0.13871179315
m	0.0237746243333	0.835410822407	0.0251334192148	0.0318758656944	0.0838052003833
e	0.0167205564444	0.597808950802	0.257024925738	0.0625754718981	0.0658700748944
a	0.0276248711481	0.303848973601	0.439221961913	0.0573314322994	0.171972751065
n	0.0302998750494	0.146537144534	0.558170230638	0.0541148224331	0.210877907688
k	0.0784121720165	0.103022214845	0.632993723546	0.106431247478	0.0791406232293
ò	0.0900290796722	0.079075720615	0.674124037849	0.126558922493	0.0302122139431
r	0.0317205235574	0.0299605988717	0.708625009283	0.202922614164	0.026771244181
a	0.0312328201858	0.0510095576239	0.520535496428	0.363819354721	0.033402793727
e	0.125505894395	0.150880407541	0.333583488809	0.329591171574	0.0604390422423
n	0.151022204798	0.147064849847	0.17313234427	0.461851657191	0.0669289310808
d	0.0913535349327	0.0819480406157	0.154430429423	0.641009499064	0.0312585156936
i	0.0933327699776	0.0792633868719	0.164903476474	0.640419199688	0.0220811852312
m	0.128142281659	0.0516698582906	0.082291928158	0.699716976563	0.0381789594104
è	0.109033583886	0.0493600087635	0.0844725187193	0.709686802188	0.0474471011368
n	0.0422537952953	0.0490048255878	0.0883392379064	0.766077100729	0.0543250223789
i	0.0307443174318	0.0826244445293	0.138141734302	0.695440033576	0.0530494204596
</S>	0.0385128312159	0.134529877265	0.222420697151	0.564071266788	0.0404652867298
