 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
m	0.932563115	0.00878649775	0.0012776327	0.00214971095	0.001202632575	0.00092534597	0.002089477975	0.01760868325	0.012902579415	0.02049429265
ò	0.934265905	0.00752473925	0.00145083683333	0.00202466645	0.00118982408833	0.000898245081667	0.00204443684833	0.01758248415	0.01281803136	0.0202008235833
t	0.963479085	0.00750873925	0.00270749081111	0.00363558851667	0.00324430745944	0.000494906968889	0.00132302723944	0.00622053245	0.00441715476167	0.0069691821611
t	0.730149111667	0.0107484839167	0.020347901437	0.00807253350556	0.0580483971531	0.021614675273	0.0134728848465	0.124318000817	0.00701732867389	0.0062107026537
i	0.408524083889	0.156250640639	0.082923794479	0.0238934375019	0.0867935523844	0.030253012991	0.0178692904488	0.177326682939	0.0082111832913	0.00795432568457
ì	0.21798270063	0.50834686688	0.0928196178263	0.028795925834	0.0436757785615	0.012270644197	0.0071846141496	0.0785482619797	0.0039806799971	0.00639490122819
r	0.0826615405433	0.746780735627	0.0761589322754	0.019414437278	0.0242500722872	0.00541823983233	0.0048199388832	0.0338397777599	0.00262602969903	0.00403026534273
t	0.0349425801811	0.571348385209	0.0894386807585	0.0156679810927	0.0575646324291	0.0285622964108	0.0131232636277	0.16839629802	0.0157704867663	0.00518537184758
e	0.0168380080604	0.428390608403	0.173205300253	0.0157310183642	0.073684155143	0.0369558443703	0.0146361223092	0.21538839334	0.0197953427888	0.00537517859919
è	0.0108716039535	0.579246022801	0.234484636751	0.0209841044547	0.0389823255143	0.0172266853568	0.0100309238697	0.0771068294467	0.00784933096293	0.00321750334973
t	0.0062587187845	0.5225575376	0.37176948225	0.0312297871516	0.0167579239714	0.00925954751893	0.0080680724899	0.0277004719822	0.00401096223098	0.00238745637658
t	0.00355549299483	0.2732134792	0.487374494083	0.0312127813839	0.0351186639905	0.0444162599063	0.0274213063633	0.0784214418274	0.014959736487	0.00430632105219
a	0.00275151169828	0.116474707067	0.585757598028	0.0283065757946	0.0516896546635	0.0594183813021	0.0355014804544	0.0966982957091	0.0184551325723	0.0049466917574
s	0.00208012726609	0.0599940530223	0.729210132676	0.0730774425982	0.0431325348878	0.0261307877674	0.0196804518181	0.0347929592697	0.00997213160077	0.0019294115258
e	0.0028245783887	0.0408666840074	0.694610194225	0.138921334199	0.0577964149626	0.0205603072558	0.0167498512727	0.0136799095899	0.00726033128692	0.00673038387527
o	0.0046831527629	0.0211214760025	0.567712548075	0.2672198314	0.0659501849875	0.0180806701853	0.0111636193909	0.0246443567633	0.00401640084897	0.0154077472918
G	0.0037004140543	0.0124718866675	0.500194516025	0.366309390467	0.0581713549958	0.00931414642843	0.00732482016363	0.0266880523544	0.00325640491632	0.0125690337373
i	0.00353371528477	0.00778268655583	0.535532672008	0.364822820156	0.0563096733319	0.00694991674281	0.00643505395454	0.00973629805147	0.00198034877211	0.00691683388577
