 	sto	e	cucino	</S>
e	0.898092065	0.0217499901	0.0089023992	0.0712556138
s	0.750429155	0.0612783723667	0.0540907364	0.134201781267
t	0.593981431667	0.204180040789	0.0907358371333	0.111102718922
è	0.396153500556	0.49800464693	0.0660599263778	0.0397819548573
c	0.174978583519	0.700030058977	0.105332994459	0.0196583760024
e	0.109115954506	0.650478552992	0.22595863482	0.0144468880008
m	0.0827304327353	0.464511314331	0.42015399494	0.0326043126669
a	0.0978300221451	0.273057201444	0.574205998313	0.054906815889
r	0.102060126715	0.135173196481	0.723892332771	0.0388743532963
è	0.0367683485717	0.0553773104937	0.888197610924	0.0196567654321
o	0.104115353191	0.0855469358312	0.794752426975	0.0155853518107
</S>	0.186278326596	0.133685192916	0.664579248487	0.0154572964053
