 	non	ho	dove	d'	andare	</S>
e	0.4755400525	0.093429495	0.005432033	0.012610662	0.04241419665	0.370573509
n	0.175091602167	0.262397198333	0.114797657	0.024631968	0.0522737948833	0.370807760667
è	0.0610415872557	0.547994382778	0.176780779	0.0439119443333	0.0397972502944	0.130474060556
c	0.0228386432852	0.657208760926	0.161206533	0.0461854011111	0.0601616927648	0.0523989605187
h	0.0099238094284	0.469294170309	0.404394401	0.0281769738704	0.0646786095883	0.0235319860396
o	0.00491646217613	0.20352857277	0.684462923667	0.0576954601235	0.0396661841961	0.0097303676132
p	0.00873487009204	0.0765162569233	0.733432831222	0.0896471300412	0.079234913732	0.0124340056044
u	0.013292589364	0.0482444589744	0.497609321741	0.296704323347	0.120072237911	0.0240770928681
è	0.00946203192133	0.0361208033248	0.193373681914	0.652116774449	0.0838044649703	0.0251222662894
n	0.00525504897378	0.0144175155416	0.0868905483047	0.777860291483	0.0918304506568	0.0237461260965
a	0.00693090685793	0.0153433612805	0.0918846137682	0.740969130494	0.122346336886	0.0225256270322
p	0.00933788761931	0.0154614970602	0.0770874735227	0.493785984165	0.387183325629	0.0171438270107
à	0.00859954453977	0.0116562769867	0.0365635214409	0.319439578722	0.608393141876	0.0153479476702
o	0.0941006878466	0.0715192756622	0.074978685147	0.340966746241	0.399122890625	0.0193117175567
</S>	0.179612163923	0.128029957831	0.115964972573	0.31174953812	0.241463560312	0.0231797787784
