 	l'	ho	sentito	che	viene	</S>
o	0.514537275	0.068968669	0.13293434835	0.03054304225	0.0679401385	0.185076468
n	0.200463124	0.277142269667	0.139545561783	0.0387956890833	0.1407480095	0.203305327333
ì	0.0837901986667	0.340326709889	0.312143612928	0.0320786963611	0.134351589167	0.0973092057777
k	0.0458547132222	0.16974087663	0.636148604309	0.0349116981204	0.059632432389	0.0537117149259
u	0.0368670190741	0.09021985721	0.656108301436	0.125613202707	0.053523387463	0.0376682793086
s	0.0304404070247	0.0394335635367	0.413698342145	0.381213010902	0.112811999154	0.0224027189362
a	0.0242401250082	0.0212687619789	0.232387602382	0.486085213634	0.189535799718	0.0464825088121
n	0.0215938947027	0.0144832969663	0.149089809461	0.458931681211	0.301371963239	0.054529327804
a	0.0156068056009	0.0137602256288	0.0864245951537	0.37332347707	0.40565141108	0.105233454135
r	0.0134196031136	0.0134522068096	0.0640426420679	0.19114238569	0.595416077027	0.122527031712
t	0.0060444359512	0.0054655263032	0.0416361353726	0.0990457418967	0.514537745676	0.333270380904
i	0.0241155679837	0.0359468578677	0.156499866124	0.123768823966	0.249045771892	0.410623124301
</S>	0.0429973889919	0.0678041264339	0.262074753062	0.180952771983	0.228982340946	0.21718863315
