 	vuole	pianto	</S>
i	0.925384965	0.0633605775	0.01125452625
t	0.939577831667	0.0524587748333	0.00796341211667
è	0.959381677222	0.0360161572778	0.00460217806222
l	0.784111082407	0.210139315759	0.00574965517741
i	0.543863904136	0.44524043192	0.0108957040591
k	0.328036192245	0.662586323973	0.00937751908637
l	0.110402787382	0.869541754658	0.0200554950955
a	0.0678705182273	0.901187031553	0.0309424966985
m	0.0538216005091	0.903905410518	0.0422730538995
m	0.0279736189364	0.917228423506	0.0547980179665
è	0.178975680645	0.740615117835	0.0804092559888
n	0.220991172948	0.383286659278	0.395722188663
o	0.289355790383	0.237927803093	0.472716397221
</S>	0.466425595192	0.271592531546	0.261981870111
