 	Marika	è	che	si	sposa	domani	</S>
M	0.90132878	0.027645017	0.00159411487	0.00090701285	0.0015440225	0.04531111585	0.02166994867
a	0.610238106667	0.037644739	0.00828569789	0.01473925965	0.00512540226667	0.05865407495	0.265312733557
r	0.255090875556	0.328963353	0.0170665432967	0.0202172173167	0.00679778625556	0.03793361965	0.333930634019
ì	0.106278035619	0.705390231	0.0362338857656	0.0161402242056	0.00670471908519	0.0162718974833	0.112981040206
k	0.0406235933063	0.763185143667	0.0946056869219	0.0261259310685	0.0120391880284	0.0074854635611	0.0559350294353
a	0.0178579584354	0.518041689889	0.236486952307	0.134346717023	0.0331217303428	0.0135547153204	0.0465903008118
è	0.0111915461451	0.220173625296	0.323386274102	0.267998515674	0.0538645507809	0.0625756894401	0.0608098496039
n	0.00801975151503	0.0931675757653	0.373944431367	0.337800438558	0.058505630927	0.0712167063467	0.0573454582013
a	0.00377246587168	0.0520988925884	0.337258167122	0.365847012853	0.0985571686423	0.0445267073156	0.0979395694004
r	0.00264295602389	0.0352881627628	0.169920332374	0.280365157618	0.333069206214	0.0679564244385	0.110757742467
m	0.00131852450463	0.0185181388209	0.189625980791	0.240996259206	0.369203445405	0.0575116868128	0.122825906822
a	0.000676848974877	0.0183732402736	0.203139540264	0.241715629735	0.327530345135	0.0513040862709	0.157260280941
s	0.000462310414959	0.0129040743079	0.0881006635547	0.145934078245	0.574418198378	0.0930821574236	0.085098537647
t	0.000233442201653	0.00591808165263	0.0346134643182	0.069102174415	0.592758816126	0.0773127292412	0.220061307882
ì	0.000215536497218	0.00434962845088	0.0175452334394	0.0414307664717	0.516903172042	0.15244869318	0.267106953294
à	0.00341168081241	0.00317644005029	0.0085010476798	0.0204910979906	0.382907469347	0.48873995106	0.0927722938313
v	0.0047644063708	0.00225604598343	0.0036837938266	0.0080413236302	0.189786085116	0.752449650353	0.0390186820104
v	0.0020417499336	0.00181146876114	0.00270720880887	0.00568171301007	0.133995335039	0.539702867451	0.314059639337
r	0.000755836508533	0.00137204440705	0.00232587634962	0.00469814480336	0.0722036623463	0.202157805817	0.716486646446
i	0.00452755565684	0.0120813188224	0.0199406207299	0.0289491004011	0.0680741881154	0.242104377939	0.624322852149
</S>	0.00866011132842	0.0232598844112	0.0383686138649	0.0550032452005	0.0939740540577	0.368152853969	0.412581231074
