 	ancora	non	mi	sono	vestito	</S>
a	0.94495618	0.002080548225	0.0032848567	0.00140036605	0.00363519987	0.0446428947
n	0.94504986	0.002066810365	0.00200627281333	0.00177207005	0.00370684417667	0.0453981165667
k	0.79124441	0.0775227580783	0.0677515647178	0.0308328750833	0.0112839976122	0.0213643405222
ò	0.690752646667	0.127709852693	0.111180014906	0.0445826411944	0.0140508451374	0.0117240010907
r	0.667970215556	0.178992744231	0.075228707302	0.0314491512315	0.0217095916458	0.0246495902802
a	0.427848318519	0.185845775744	0.184914768101	0.129054071744	0.0415258085486	0.0308112447601
e	0.277990476173	0.0864219505813	0.255352359367	0.170446199581	0.0372597285162	0.172529282253
n	0.209195240724	0.0404208716271	0.146575965122	0.342423765527	0.0233177888387	0.238066366418
e	0.159023602241	0.0373446276424	0.169195630374	0.466965705176	0.0177886576129	0.149681794473
n	0.115453966747	0.0349407096475	0.166574293525	0.536530718392	0.0289247945376	0.117575541491
d	0.0448430095823	0.0191857496492	0.0738009899083	0.767653239464	0.0338939461792	0.060623048497
ì	0.0204836019608	0.0138960601164	0.0494571519694	0.865167889821	0.0250958860597	0.0258993510323
s	0.0092056089536	0.0080176639388	0.0331585379898	0.90341695994	0.0253565306866	0.0208446435441
i	0.0279942705179	0.0289477476463	0.0969188933299	0.75200909998	0.0535623862289	0.0405675675147
m	0.0371947308393	0.0495697982154	0.134829124443	0.44562964666	0.137306908743	0.195469762505
o	0.119998477613	0.0586642167385	0.113278961481	0.350279445553	0.131224014914	0.226554838835
</S>	0.216081438806	0.0680685708693	0.120586080741	0.409485737776	0.068359525457	0.117418571417
