 	devo	pulire	l'	albero	</S>
è	0.996260615	0.00099140829	0.00029363524	0.000618425693	0.001835879064
n	0.987373915	0.00853949589	0.00102312580667	0.00177745182633	0.00128597049733
a	0.769096388333	0.194663876297	0.0234326252022	0.0111290031754	0.00167809946578
k	0.382111584444	0.516493315432	0.0450498250674	0.0519028253918	0.00444250335526
a	0.158466956481	0.692352628477	0.0760867116891	0.0657906907973	0.00730304455175
t	0.0772401651937	0.630598642826	0.14779774723	0.136882359266	0.00748109128392
à	0.0282119542979	0.472151907609	0.334307959077	0.159363805755	0.00596439956131
r	0.0112582292326	0.37078384587	0.532190986359	0.0716168012517	0.0141501936538
o	0.00922091801087	0.24388975529	0.63460776212	0.0742896004172	0.0379920302179
t	0.00813512020362	0.10496650823	0.52053281404	0.330766633472	0.035598973606
o	0.0113493666012	0.05945954921	0.373052181347	0.469337054491	0.0868018847353
n	0.0123072336104	0.0420004579633	0.262301808216	0.580054961497	0.103335561812
à	0.0166690769468	0.0317088642144	0.127370110505	0.767964570499	0.056287397504
r	0.0183426545489	0.0288084898715	0.0921419985017	0.792213430166	0.0684934225013
b	0.0066909333163	0.0140823584238	0.0862580378339	0.589172973389	0.303795704167
u	0.00515979780543	0.0233670441413	0.0971738959446	0.488475344463	0.385823958056
r	0.00435437476181	0.0227765773471	0.0585045668149	0.639123208154	0.275241316019
o	0.0213614432806	0.043539195749	0.117922603772	0.591342162718	0.225834644006
</S>	0.0404740766403	0.0754273308745	0.204866066886	0.537395051359	0.141837520003
