 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
e	0.49548742	0.112845365	0.000852072	0.00235711345	0.0063371102	0.00268953805	0.00810252255	0.02208512278	0.0483266835	0.30091704605
d	0.187280696067	0.415668975	0.000827689826667	0.00227317301667	0.00527682352	0.00281144171667	0.00824724718333	0.0222407832933	0.0536756595	0.30169753085
e	0.071819983089	0.681431525	0.0249518671022	0.00708971053889	0.00307019396	0.00880716170556	0.00463488806111	0.0289860801311	0.0272887331667	0.14191988245
r	0.033219925963	0.773718641667	0.0329423073974	0.00845783887963	0.00282138762	0.0105935475019	0.00341627408704	0.0309905975437	0.0153950127222	0.08844444455
f	0.013795898421	0.886323547222	0.0134938511625	0.00788711565988	0.00253004877333	0.00419309990063	0.00361443016235	0.0111915657479	0.0257533259074	0.0312170860167
ì	0.0135861979737	0.904816682407	0.0140518567208	0.0152112508866	0.00206667560444	0.00280737090021	0.00390095072078	0.00467757878263	0.0276594738691	0.0112219494206
m	0.0141987266579	0.884740704136	0.0408629149069	0.0245272299622	0.00152649181481	0.00727543476674	0.00280186090693	0.00399527072754	0.013578715523	0.0064926314552
m	0.0111168752193	0.600991031379	0.186996854969	0.0602336566541	0.0131389131383	0.0340078879222	0.0128169020356	0.0578559702425	0.0175087991743	0.0053330856184
u	0.0222789370731	0.286864947126	0.214725207323	0.221114968885	0.0412899943794	0.0631619113074	0.0371060253452	0.0866714910808	0.0240293730581	0.00275711523947
e	0.0648722333577	0.200332159042	0.083740405441	0.330473622962	0.121464444793	0.0577532504358	0.0366574922484	0.0503465350269	0.0201630443527	0.0341968049798
n	0.0662781274526	0.119797819347	0.032424231547	0.439460587654	0.179097104931	0.0321059464786	0.0208377058828	0.0255112409423	0.0388526731176	0.0456345823266
è	0.0306724301509	0.0519624151157	0.0137791244157	0.661241862551	0.13877055831	0.0171459048262	0.0150694872943	0.0105012104808	0.0430557549392	0.0178012857755
e	0.0174822162503	0.0345441640386	0.00741913403857	0.519038619517	0.35742249277	0.0180719389421	0.0105363687648	0.00666788772693	0.0175306999797	0.0112864712585
r	0.0120755609501	0.0224315690129	0.00313696321286	0.332686305172	0.54222817759	0.0380139506474	0.0138175639216	0.00464785107564	0.0222807587599	0.0086812905195
t	0.0115163469834	0.013145120671	0.00800728687095	0.328246918391	0.454008625863	0.103020246882	0.0244137026405	0.0251660491919	0.0285894115866	0.0038863352065
o	0.0180336623278	0.044690983557	0.0147689912903	0.237746982797	0.366132328621	0.185971808961	0.0587404722135	0.0419292287306	0.0243804775289	0.00760509366883
m	0.0263910471093	0.0533256153857	0.0119283130968	0.154622280932	0.305437362874	0.318834269654	0.0664403724045	0.0281745819102	0.0252323071763	0.00961385515628
è	0.0180412228031	0.0196254594952	0.0058995534656	0.0870087519773	0.219562292291	0.528142699885	0.0687877354682	0.0257339889701	0.0227017517254	0.00449654445209
n	0.00667687853437	0.00790565818507	0.0030147414552	0.0720410209924	0.107936282097	0.664403063295	0.0840964401561	0.0350147263234	0.0164738242418	0.0024373542507
a	0.00322654301146	0.00914090558169	0.0052885570184	0.0618654233308	0.065809274699	0.620424911098	0.175593456719	0.0408526214411	0.0155890804139	0.0022092166169
m	0.00340885213715	0.0097531572939	0.0058928045728	0.0309786226769	0.0773666988997	0.612577617033	0.206313535573	0.038425312147	0.0133446986046	0.00193872693897
à	0.00281667758572	0.00414337729797	0.00269599469093	0.013776807359	0.0759595316332	0.616244052344	0.217826221858	0.0499389447157	0.0153090126682	0.00128942612632
i	0.00412446626857	0.0148897141993	0.00336307716364	0.0190166640197	0.0491179825444	0.393083253115	0.442269753953	0.0498089779052	0.0224841982227	0.00184198135544
e	0.00825599542286	0.0334895403998	0.00425439705455	0.0215990815732	0.0504052175148	0.191176396705	0.560682651318	0.0753957523017	0.0221235074076	0.0326175307851
t	0.0148617038076	0.0313356984666	0.00262070085152	0.0133914534244	0.0339740378383	0.137289025568	0.592770483773	0.0981605894339	0.0334433191359	0.042152998795
t	0.0138168937359	0.0187416571555	0.00183387278384	0.0128516456415	0.0220547756128	0.195736045189	0.603153927924	0.0776593051446	0.0391411800453	0.015010678465
ù	0.0052391295353	0.00999722898517	0.00159396681461	0.00937221311383	0.0125514502376	0.193585415063	0.562297675975	0.162060188382	0.0378252473484	0.005477477445
k	0.0018302924951	0.00358118410839	0.00091829067487	0.00366698343794	0.00486690639253	0.0990099803543	0.440706825325	0.404811459461	0.0379630864495	0.002644972405
ù	0.000792448165033	0.00150609144946	0.00156278574162	0.00261264547931	0.00202683908751	0.0638221084514	0.293441631775	0.510424363154	0.121804840483	0.00200619420167
n	0.000454986098344	0.000829605608153	0.00177915572054	0.00228126385977	0.00108132381917	0.0420319024838	0.262479023925	0.530249481051	0.156808399494	0.00200483850056
d	0.000306775292781	0.000473865547718	0.00231857181351	0.00138194531992	0.00076343863639	0.0394494791613	0.246597347975	0.601879193684	0.088467937498	0.0183614455002
u	0.000689452120927	0.00875814330257	0.0128831100378	0.00759380077331	0.0121818381288	0.0427446140538	0.278619565992	0.512006637895	0.099553314166	0.0249694988334
m	0.00237797500698	0.0116447979342	0.0169348000126	0.0096840854911	0.0169636354096	0.0399897506846	0.232718781997	0.539949985965	0.103529904722	0.0262062866111
è	0.00267023013566	0.00476016894473	0.00848730923753	0.00497253133037	0.0073586747032	0.0265764345615	0.121107263332	0.504098658655	0.294825071574	0.025143680837
n	0.00111462267189	0.00221208238491	0.00356983151251	0.00293957791012	0.00303690032107	0.0145539479538	0.084958360444	0.469891782885	0.402651170525	0.0150717082457
a	0.00269033585063	0.0108609383983	0.0180738533708	0.0182208075034	0.00844770799369	0.0282042914179	0.100099756815	0.437540527628	0.362304276842	0.0135574504152
</S>	0.00478863862531	0.0205690376992	0.0342364686854	0.0348583062517	0.0152411939968	0.0466060157089	0.120009938408	0.286201463814	0.427068548421	0.0104203227076
