 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a	0.67040931	0.0560881235	0.00741650385	0.0035579272	0.0063760967	0.00318627735	0.01828714915	0.23467855535
n	0.369125940467	0.350241291833	0.00754976911667	0.00376872446667	0.00801683206667	0.00439098525	0.02215092505	0.234755524117
è	0.126267705522	0.743936897278	0.0174577985389	0.00373093288889	0.00797387818889	0.00479733051667	0.0134059710167	0.0824294913723
r	0.046011254474	0.876690865759	0.0245508848463	0.00488401376296	0.00661525696296	0.00366760077222	0.00672753400557	0.0308525835241
k	0.0281444048913	0.678377458586	0.178418471615	0.0125297082543	0.032945793221	0.0242809717574	0.0220214406685	0.023281774908
e	0.0223456847304	0.408284622862	0.405509350538	0.0274444504181	0.0500918100737	0.0378618459191	0.0280513760228	0.020410904816
s	0.0134245903435	0.355905017621	0.477788640179	0.042775637806	0.0350898726912	0.0254680133064	0.0404109458076	0.00913727878533
e	0.0250994961145	0.246191640874	0.486296336726	0.110154640269	0.0460749362304	0.0303776231021	0.0450862409359	0.0107190619284
s	0.0310934760382	0.118260407958	0.371364745575	0.300432913423	0.0654772650768	0.0344696377007	0.0664814259786	0.0124201173095
e	0.0345198880127	0.0616534253193	0.231278581858	0.442181187808	0.0766105930256	0.0412118265669	0.0743580609929	0.0381864241032
s	0.0333738596709	0.0333223832731	0.146386163619	0.550166129269	0.100855347675	0.0410553875223	0.049738549331	0.0451021728344
e	0.0203621218903	0.0180097189244	0.067203630873	0.654055859756	0.129294275892	0.0439929378408	0.0417102054437	0.0253712300781
t	0.0158129812968	0.0116675416081	0.036855485491	0.655986839919	0.182256168631	0.0460510612803	0.0329668408146	0.0184030472594
t	0.0107295970989	0.0051711996827	0.020319487697	0.614332813306	0.277756182877	0.0306608017601	0.0322418559382	0.00878802398647
à	0.00538203660963	0.00224055160757	0.0160495757323	0.449445037769	0.458792787626	0.04411076992	0.0196586716461	0.00432054800216
s	0.00192807013654	0.00103913141919	0.0111296204108	0.310772599256	0.598425629209	0.05611543464	0.0180143622154	0.00257512700739
t	0.000969213278847	0.000554517323063	0.0113546874703	0.244671553085	0.59910702307	0.0803062662133	0.0272831464051	0.0357535650025
e	0.00111690606962	0.00141466210769	0.0204180791568	0.140431786028	0.55889828769	0.187452998738	0.043923650135	0.0463436298675
a	0.0375613767899	0.0112339008692	0.0305615083856	0.0709213393427	0.399174242563	0.342231112913	0.069561280045	0.0387552634892
n	0.0642719072633	0.0136841836564	0.0227088457952	0.0441761471142	0.279403414188	0.382978157638	0.150696816682	0.0420805564964
k	0.0377228746878	0.00640433105213	0.0242450515984	0.0563497707047	0.392965391396	0.294570352546	0.165641570561	0.0221006351655
ò	0.0138474577526	0.00386535993071	0.0248536691995	0.0497347565682	0.345294681799	0.405958050849	0.147183305187	0.0092626724885
r	0.00468474379753	0.00154293797357	0.0100613303665	0.0209299018561	0.203442405266	0.52664501695	0.224922941729	0.0077707259295
a	0.00283637478918	0.00616040787452	0.0154514420888	0.0217840066187	0.165598071755	0.48558049565	0.29197906391	0.0106101616432
m	0.00464422836306	0.00785036731151	0.0226080660296	0.0212007637062	0.115360007252	0.482266701883	0.32002813797	0.0260417515477
a	0.00497755362102	0.00854105512384	0.0183256600099	0.0169302234021	0.084155182084	0.385546093961	0.453735629323	0.0277886573492
r	0.00376150150701	0.00857237302661	0.01119383617	0.0130585839674	0.039565037028	0.21623885232	0.687181309774	0.0204285626164
è	0.00241482640767	0.0031404297942	0.00445911485667	0.00491250642247	0.0156434058093	0.112320812773	0.839038736591	0.0180701881155
o	0.0204588790412	0.0106000063981	0.0165591902522	0.0154637717408	0.0191719964031	0.129524511924	0.777805012197	0.0104166626152
</S>	0.0396550510206	0.019251431199	0.0301885491261	0.0279143668704	0.0292011547016	0.171646885962	0.670806556099	0.0113360603076
