 	non	ha	che	li	aspettiamo	</S>
e	0.44919643375	0.046363395	0.00378118195	0.043275151235	0.049032574	0.408351275
n	0.152196505417	0.320641479667	0.0241431312833	0.0447076468783	0.0494981876667	0.408813009667
è	0.055260807739	0.597140643222	0.0391536780944	0.0785291237594	0.0493697955556	0.180545944556
n	0.0220197648463	0.649793801074	0.0645752070315	0.0937990419198	0.0619360885185	0.107876163852
a	0.0242691796154	0.509601292358	0.281579579011	0.0520518759733	0.0811311211728	0.051367006284
t	0.0256933655385	0.210096486786	0.60080980967	0.0480868246578	0.0846958470576	0.0306176837613
u	0.0293934698462	0.108912631262	0.538674683223	0.0646325328859	0.192754122353	0.0656325635871
s	0.0333588236154	0.0775312054207	0.481650187741	0.0904105342953	0.230193947451	0.0868552878624
m	0.0433901445385	0.0429083758069	0.42155757858	0.0987644080984	0.34286503915	0.0505144186208
ì	0.0449362401795	0.0304522159356	0.209462572193	0.173402176033	0.489983316383	0.0517634488736
n	0.0180640117132	0.0211216198785	0.135327606231	0.343232198678	0.432402438794	0.0498521019579
o	0.0612059955577	0.0851025245262	0.18553902091	0.306692886226	0.331982038265	0.0294775186526
m	0.0756252864526	0.106268881999	0.197533975117	0.121160226409	0.471651524755	0.0277600825509
e	0.0419974534175	0.123881647823	0.283454879852	0.0470592652697	0.486099042918	0.0175076486503
</S>	0.0456689167088	0.194569488911	0.467949139926	0.0267976258349	0.255767923459	0.00924682002515
