 	l'	ho	sentito	che	veniva	</S>
o	0.517808425	0.061692306	0.13003022975	0.0608971371	0.06887959235	0.160692315465
n	0.200211958333	0.300697395333	0.137259895917	0.0736018550333	0.10626813245	0.181960765155
ì	0.084479066111	0.376839915111	0.315535571306	0.0535400376778	0.07658874815	0.093016657385
k	0.0460631113703	0.18420548837	0.633899177102	0.0511849772259	0.0354249687167	0.0492222914617
u	0.0358034791234	0.0991624634567	0.636258592367	0.142986225742	0.0537303965722	0.0320588698206
s	0.0288778384411	0.0423222048189	0.400878424122	0.378352905247	0.130387655524	0.0191810073069
a	0.0234806372137	0.023095622273	0.230710904707	0.474832211749	0.210044151841	0.037836490469
k	0.0209149976379	0.0158304978577	0.146094993236	0.45157235725	0.32152117728	0.044065970223
a	0.0151781201126	0.0165370020526	0.0850998360787	0.372824682417	0.444924359093	0.0654359968077
è	0.0130832273575	0.0172289633509	0.0622848982596	0.181176862806	0.652113219698	0.0741128162692
r	0.00444096032917	0.00649373256697	0.0211646391332	0.0642552032687	0.874824473233	0.0288209774231
k	0.00201191659972	0.00373529163899	0.00910423009107	0.0420297694229	0.880965824411	0.0621529804744
a	0.00194531679991	0.006162593213	0.012519817597	0.040054495141	0.85946253147	0.0798552418248
t	0.00168841519997	0.00565668741767	0.0126897407323	0.021624006047	0.898866447157	0.0594747122749
o	0.00432783233332	0.0352683014859	0.0175406397774	0.0867092190157	0.808635862386	0.047518179425
</S>	0.00739866166666	0.0674500957429	0.0274530978887	0.161146714508	0.707218781193	0.0293326777125
