 	forse	stanno	ancora	svegli	</S>
f	0.99151105	0.00329210715	0.00096173932	0.00127534643	0.00295972502
ò	0.979088783333	0.01534271935	0.00174326990667	0.00113777909667	0.002687407957
r	0.957809427778	0.0345253431167	0.00316096740222	0.000735474552223	0.00376874326933
s	0.652854735926	0.205033784372	0.0291690579007	0.0936041572174	0.0193382587564
i	0.240819134809	0.520294181457	0.0920172426336	0.124732892006	0.0221365725188
s	0.12038895777	0.729095147152	0.0895179188779	0.0471177732687	0.0138802271063
t	0.0790020784567	0.842691049051	0.0372855012926	0.0281425424229	0.0128788865354
è	0.0270381375856	0.91970181635	0.0296612357642	0.016948006341	0.0066508625218
o	0.0288843667619	0.737338062117	0.190275343588	0.012385858647	0.0311164070173
n	0.0315348393873	0.425160500706	0.247389597863	0.252469655549	0.0434454113391
e	0.0139048353291	0.294868176902	0.341548995954	0.32841598585	0.0212620307797
a	0.0078311699097	0.185033171634	0.372200418651	0.412267179283	0.0226681442599
n	0.00477405890323	0.0644582391113	0.144247715884	0.763454493094	0.0230655648866
k	0.00541087750108	0.169955975604	0.208563611628	0.601478561031	0.0145910217622
ò	0.00676578243369	0.209096973201	0.527902787209	0.241655198344	0.0145792742541
r	0.0037003605779	0.0754267571337	0.543710985736	0.359557734115	0.0176041637514
a	0.0098406433593	0.0759440804446	0.507612451912	0.381608537372	0.0249943059171
a	0.0319734577864	0.125235030148	0.501572167304	0.274746678457	0.0664726919724
t	0.0327993122621	0.113143946716	0.251877463435	0.493393399486	0.108785873991
s	0.0197713244207	0.131024948905	0.317410612145	0.431164392829	0.100628684664
ù	0.0465137104736	0.149503392968	0.473946897382	0.179410567276	0.150625388221
n	0.0497495934912	0.0859448943227	0.312144364794	0.284505379092	0.267655749407
n	0.0180830317204	0.0351730497742	0.129149191598	0.315698539697	0.501896169802
i	0.0295437394635	0.0803202915914	0.225470538199	0.185433739899	0.479231679934
t	0.0331690351945	0.0915152873971	0.23896864398	0.1780583033	0.458288749978
i	0.0432315971048	0.165515769332	0.21616971924	0.125553707767	0.449529259993
</S>	0.0697131885524	0.284906219666	0.31246483462	0.0749674988835	0.257948344996
