 	li	vestono	i	genitori	</S>
t	0.67405811	0.034139139	0.01381475215	0.165168223	0.112819812
u	0.371137428	0.176289035667	0.0199557987167	0.318578201	0.114039542333
s	0.129895127707	0.386325978556	0.0144499915722	0.424707287	0.0446216097777
i	0.0546841262757	0.484003692852	0.0430815758574	0.390765872333	0.0274647389259
n	0.0297001593419	0.503533797617	0.0610629539525	0.381638600778	0.0240645073086
d	0.0111251275973	0.578720232539	0.0466690273175	0.333504416926	0.0299812667695
ì	0.00868857676577	0.553184497513	0.239711973106	0.170573685642	0.0278412957232
n	0.00772342208859	0.528396842504	0.351130611035	0.0970957285473	0.0156533907077
n	0.00878705352953	0.421857621835	0.464381723678	0.0632996091824	0.0416739939026
o	0.0701488711765	0.173900738278	0.618205907893	0.0734159060608	0.0643285906342
n	0.0852665438668	0.0796730870927	0.388836324631	0.399567575354	0.0466564888781
e	0.0720009747636	0.0830377233642	0.189087423544	0.577057898451	0.078815985626
i	0.0790699162545	0.154132584455	0.131002559848	0.51804230615	0.117752621875
g	0.0380104942715	0.122738131385	0.0546072023627	0.71173235205	0.072911813725
e	0.0139193841438	0.0507542960283	0.0189082547009	0.886517100683	0.029900975675
n	0.00611217064793	0.0265899289094	0.00715206623363	0.937296866894	0.022848938225
i	0.00548343594931	0.0267211965365	0.0102027109112	0.928362055631	0.029230553075
t	0.00666584531644	0.0294631968455	0.0114807553371	0.92340568521	0.028984529025
ò	0.00513357030548	0.0373990162818	0.00747076481237	0.854552328403	0.095444335675
r	0.00318251848516	0.0455173830939	0.00649605353746	0.788354909468	0.156449148558
i	0.0195364720117	0.070621083698	0.0904223907792	0.664077546489	0.155342532853
</S>	0.0370081025059	0.105591861849	0.17640815539	0.514756288245	0.166235596426
