 	non	ho	cosa	è	da	mangiare	</S>
e	0.4367971989	0.105085885	0.00499828715	0.00360249275	0.0051111327	0.0172806987	0.42712435
n	0.149210497567	0.268790105	0.0122370023833	0.0230730251167	0.0144094640333	0.0970412895667	0.435238636
è	0.054823722589	0.552436515	0.0400509734611	0.0348686353722	0.0197604236778	0.130878794522	0.167180909333
c	0.0213676545297	0.632365885	0.077185676487	0.0305690147907	0.0166195438926	0.149832029507	0.0720601687777
h	0.0083200317099	0.400578016333	0.381023702162	0.0268648559302	0.0135680496309	0.139880483602	0.0297648815592
o	0.00412812356997	0.148068351111	0.466790431721	0.22786982631	0.057462907877	0.0842368749673	0.0114434985864
t	0.00448356558999	0.0624104905037	0.243567194907	0.38965139877	0.0893450626257	0.199140264989	0.0114020159621
i	0.0102458598633	0.0500831193012	0.154331001969	0.347382422923	0.161188314209	0.258884024996	0.0178852673207
è	0.0149180167878	0.0556609087671	0.058207846223	0.393316290974	0.254073464736	0.188192878332	0.0356306164402
n	0.0102214698293	0.0316203459224	0.021798574841	0.383148360325	0.335272201579	0.176155569444	0.0417835078134
a	0.0143531650098	0.0323421393075	0.0193563678137	0.287183053442	0.332188987193	0.276154086481	0.0384221902711
f	0.0157525163699	0.0319380426125	0.0180358973046	0.163883896381	0.215764819064	0.52365368216	0.0309710954237
à	0.00686049505663	0.0152897613808	0.00742951933487	0.0645987693603	0.139537271688	0.752616527387	0.0136676220079
o	0.0763001955855	0.0527414381269	0.015945178645	0.111366388453	0.106618634229	0.615991869129	0.0210362802026
</S>	0.147356692793	0.0912798040635	0.0263008613225	0.177981174227	0.111403289614	0.413263824564	0.0324143421013
