 	un	forno	che	fa	buon	pane	</S>
è	0.98488125	0.0130018465	0.000226212065	0.000210853269	0.00101925105	0.00013179672	0.000528726608
n	0.979854996667	0.0172486988333	0.000618877565	0.000198613835667	0.00165614998333	0.000133339753333	0.000289269981333
a	0.782225655556	0.137344552944	0.020164276655	0.00770418021189	0.0438966472611	0.00565189525111	0.00301278966711
f	0.394403453852	0.494012317648	0.0283265060517	0.0105747767706	0.060868073087	0.00766852855037	0.00414636028904
ù	0.139312144951	0.793127065883	0.0244555095172	0.00633294695687	0.031972509029	0.00303896768346	0.00176087022301
r	0.0537374378503	0.866376025294	0.0416606841724	0.00767210398562	0.0219499031763	0.00294124726115	0.00566266696767
n	0.0206683935501	0.655601825098	0.133252278057	0.0712683243285	0.0137779302254	0.0717886357537	0.0336426868226
o	0.01358024325	0.322105801699	0.356409526019	0.132993621443	0.0298052980751	0.105047245918	0.0400583007742
k	0.0107437773833	0.3023622039	0.47004247534	0.106710011148	0.0433244116917	0.0504235056393	0.0163936378247
a	0.0093946027611	0.2710688413	0.46989269178	0.112395907716	0.0874621545639	0.0286839855464	0.0211018383416
i	0.0190497372537	0.133284853767	0.462778120593	0.185033562572	0.130703654855	0.0232738178488	0.0458762541139
k	0.0183319392512	0.085399994589	0.437165140198	0.280048930857	0.124369084952	0.0145256022829	0.0401593319713
à	0.00950660091707	0.0386314221963	0.402311770066	0.378976256952	0.136868504984	0.0169743284276	0.0167311689238
n	0.00533099568569	0.0172389893988	0.356681836689	0.482136975651	0.105494855661	0.0214923494759	0.0116240156413
n	0.00216520062523	0.00742360281627	0.283939628896	0.44795706855	0.0491017825537	0.138296406492	0.0711162922138
i	0.00192674975841	0.00351048358876	0.160603142965	0.46205792285	0.0543179095179	0.228388238831	0.0891955184046
t	0.0019453770528	0.00286380616292	0.0845107153217	0.619149157617	0.0864668101726	0.169236842944	0.0358272664682
s	0.00131778045093	0.00229779025431	0.0483272297739	0.554440759206	0.0776607297242	0.234574074315	0.0813816214894
o	0.00302134565031	0.00282990028477	0.0443350789246	0.370259833069	0.0836726679081	0.385699368105	0.110181792163
m	0.00375928761677	0.00331632502826	0.0396504013082	0.27752239769	0.153564689303	0.451991972702	0.070194914721
ì	0.00225591303892	0.00254282000942	0.0198742614361	0.179179440563	0.425303163101	0.331335534234	0.0395088544737
k	0.00118572769964	0.00153698724647	0.00900690994537	0.0841571548543	0.469096134367	0.419297971411	0.0157191070579
a	0.00307263548655	0.00308081725882	0.0149914214485	0.0712702802848	0.407442648122	0.489949387137	0.0101928103526
l	0.00369363087552	0.00359801965961	0.0166202429362	0.0542004912283	0.397432916041	0.510221692379	0.0142330247842
ò	0.00181638830517	0.00194120505987	0.0090487287654	0.0257969928761	0.379965972014	0.565982440793	0.0154482919281
</S>	0.00173574310259	0.00197430492993	0.0096302973827	0.022588141438	0.498461836007	0.453469385396	0.012140293964
