 	perché	aveva	lavorato	tutta	la	settimana	</S>
j	0.8863093	0.0161131315	0.00165512399	0.0091842573125	0.01571343424	0.01360641965	0.057418366015
a	0.821524	0.0518504235	0.00378903239667	0.0111003661042	0.0177443680133	0.0220521338833	0.071939660005
t	0.608134563333	0.290380621167	0.00422524166556	0.0057714524014	0.00864628140443	0.0424515229611	0.040390253435
ì	0.339632604444	0.585075423722	0.00457623198852	0.00221267084047	0.00365640592481	0.049659149987	0.015187493305
ì	0.200970814815	0.720264841241	0.00737862699617	0.00540053828682	0.0060246526316	0.050705282329	0.00925522716167
c	0.093922499605	0.83334836708	0.00776280356539	0.00636748276227	0.00677426621053	0.0444345691097	0.00738999235389
h	0.0399539309683	0.809657285693	0.0432247587551	0.0475600219208	0.0307707360702	0.0223377230366	0.00649551841796
e	0.0194417120894	0.550635345231	0.295203246252	0.0618884821069	0.0408973402567	0.0257494593455	0.00618436644932
p	0.0126828163631	0.35580643841	0.437808028751	0.048496637169	0.0302095933189	0.108055833115	0.00694059745977
o	0.013105063121	0.256660506137	0.442302022917	0.050453823723	0.0394913304396	0.162413134372	0.0355740878199
l	0.011494091107	0.124849666046	0.632392340972	0.025011799741	0.0378898094799	0.122375271457	0.0459869846066
e	0.00531300553567	0.050110095682	0.807444226991	0.0121734164137	0.02628239916	0.076426412819	0.0222503830689
m	0.00768562811189	0.037494334894	0.717445745664	0.0152992064712	0.01508236922	0.191702436606	0.0152902738896
ì	0.0077273354573	0.0300342491313	0.690306081888	0.0229057424904	0.0128908915733	0.224016238202	0.0121195022632
s	0.00294661708577	0.0144434728771	0.713657423963	0.14243978783	0.0369587841911	0.0789097848673	0.0106441670544
o	0.00327730980859	0.0142241666257	0.581136361321	0.202585239277	0.116412770064	0.0700676610891	0.0122965033515
n	0.00346249324953	0.0121613732752	0.457097473774	0.257841623092	0.170239423355	0.088864160363	0.0103334681172
t	0.00160199013984	0.00476344109173	0.268139104591	0.465637794364	0.165829864452	0.0621587254543	0.0318691440391
a	0.00419811422328	0.00920157129724	0.18901330153	0.391432318121	0.248292094817	0.120758147151	0.037104502213
ò	0.00524771070776	0.0125013125324	0.147006445843	0.148802274374	0.251732946272	0.42000044905	0.0147088837043
l	0.00221574253259	0.00648612718413	0.0656836706143	0.0805170197913	0.404859293424	0.430749149683	0.00948901300143
i	0.00461002684086	0.011773607968	0.0401126808714	0.0818511399304	0.652028454475	0.195661959894	0.0139621320005
t	0.00556199191362	0.013653630656	0.0261225373905	0.0863321666435	0.681721618158	0.171019239965	0.0155887876668
i	0.00613698160454	0.017207965552	0.0199554155635	0.0680912145478	0.626821366053	0.251095949988	0.0106910323889
n	0.00621184125485	0.0182771096973	0.0172054411212	0.0348111208493	0.591496448684	0.292020126663	0.039977859963
a	0.00528537780495	0.0177556087458	0.0116060736404	0.0206735092831	0.508138082895	0.387580758888	0.048960576821
d	0.00503739323498	0.0176198357819	0.0100611983801	0.016928664761	0.349737427632	0.578681952963	0.0219335427737
d	0.00197392704499	0.00652571806063	0.00488491139337	0.0259630102537	0.514117909211	0.431344897321	0.0151896215912
o	0.004824813015	0.0129806279535	0.0330245458978	0.0762902190846	0.66434295307	0.189647698774	0.0188891015304
m	0.00570297749833	0.0148027648845	0.0429899917993	0.118061324362	0.539663191023	0.256026526258	0.0227532045101
à	0.00247404619278	0.00653265119483	0.0163871547664	0.077951420654	0.319135457008	0.563082548753	0.01443671717
d	0.00150750768426	0.00429652419828	0.00663077462213	0.029810569418	0.165285202336	0.757600366251	0.0348690577233
a	0.0337344509814	0.0506766068661	0.0546515102407	0.027425919806	0.134926999112	0.640948982084	0.0576355272411
</S>	0.0664016879907	0.0980668384331	0.10536369012	0.035603737903	0.108623327056	0.531273306042	0.0546674036206
