 	da	da	un	famoso	poeta	</S>
p	0.93969375	0.0189267518	0.006086191	0.0016033487	0.0167416185	0.01694829715
u	0.75652771	0.0930151489333	0.0284911053333	0.00489258326667	0.100166851833	0.01690654805
s	0.405353027333	0.359937826311	0.0881459917778	0.0159739214222	0.123332144944	0.00725707381667
s	0.152862541111	0.64793690877	0.110227373926	0.0257276888074	0.0588994773147	0.00434602890556
è	0.0641718643703	0.745218636257	0.126822057975	0.0228572189358	0.0383844277716	0.00254583918185
n	0.0263267782234	0.769736125419	0.146619890992	0.0171864873119	0.0359621112572	0.00416863877395
a	0.0238733875078	0.548965108473	0.276298148664	0.089802859104	0.0548244684191	0.00623602045798
f	0.0224981450693	0.215882822824	0.497033582888	0.188976569701	0.0704421028064	0.00516675868599
a	0.0176383929231	0.0969806942747	0.527293744296	0.2780273399	0.0653926742688	0.0146671842287
m	0.0186905033077	0.0591616190916	0.403098758099	0.405926079967	0.0893729947563	0.0237500614096
ò	0.0106058393692	0.0313974295972	0.2777736027	0.565353493322	0.0990275839188	0.0158420482365
s	0.0048706653564	0.0131333999324	0.1919538609	0.711351881107	0.0674740419729	0.0112161665122
o	0.00689036675213	0.0125600451441	0.118730924967	0.777571210369	0.0704037856576	0.0138436951707
p	0.00769278448404	0.012614704148	0.0580182173223	0.711786070123	0.198287125219	0.0116011180569
o	0.0211846123947	0.0314034231493	0.0679789801074	0.520369083374	0.350858525073	0.00820534101897
è	0.0265536891316	0.0388198527164	0.0736737177025	0.399464864458	0.440036891691	0.0214509293397
t	0.0103773820105	0.0155168713721	0.0305342222342	0.275203461486	0.643517280564	0.0248507375132
a	0.0216015823035	0.032009575924	0.0649337360781	0.196627623829	0.671545403521	0.0132820435711
</S>	0.0378245776517	0.055929987962	0.113576623039	0.231818321914	0.54822879176	0.0126216767855
